"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income",,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,23063,25047,25541,25750,27288,28013,29634,30518,30983,30734,31636,32378,33519,34009,36066,38344,39396,41169,43327,44830
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),26800742,28099704,28358097,29358061,30658678,31685602,33436698,34935187,36892825,37222239,38693831,40118185,41582543,42431719,44093361,46347149,47174310,49830518,51561974,53498359
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",2,Population (persons) 1/,827399,831034,836753,844619,850384,854604,860365,863068,866282,869361,871082,872778,874698,877065,878113,879085,879792,882158,882263,880381
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,32392,33813,33891,34759,36053,37076,38863,40478,42588,42816,44420,45966,47539,48379,50214,52722,53620,56487,58443,60767
10740,"Albuquerque, NM (Metropolitan Statistical Area) *",1,Personal income (thousands of dollars),19627427,20615963,21402296,22402431,23838742,25413256,27523476,28809412,30233555,30098613,30634965,31977757,32424855,31993265,33889057,35265941,36588821,37324817,38856657,40379815
10740,"Albuquerque, NM (Metropolitan Statistical Area) *",2,Population (persons) 1/,732220,741932,757716,772128,789237,809551,831252,849641,863383,876448,889558,898016,901939,904953,904538,906026,909237,912311,914947,918018
10740,"Albuquerque, NM (Metropolitan Statistical Area) *",3,Per capita personal income (dollars) 2/,26805,27787,28246,29014,30205,31392,33111,33908,35018,34342,34438,35609,35950,35354,37466,38924,40241,40912,42469,43986
10780,"Alexandria, LA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),3397455,3702272,3828594,3873958,4148459,4527139,4779408,4976499,5302408,5257482,5361291,5667339,5923309,5938294,6045886,6160540,6245761,6300415,6570992,6757395
10780,"Alexandria, LA (Metropolitan Statistical Area)",2,Population (persons) 1/,145179,145102,145416,146017,146973,147930,151142,151506,152442,153164,154096,154402,154400,154623,154558,154082,154124,153549,152762,152037
10780,"Alexandria, LA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,23402,25515,26329,26531,28226,30603,31622,32847,34783,34326,34792,36705,38363,38405,39117,39982,40524,41032,43015,44446
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),22569579,24238713,25010205,25910168,27371525,29310311,30805698,33335736,34465111,33256414,34563981,35852420,36480137,36951573,38526707,40378661,41691305,43078169,45112429,46992336
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",2,Population (persons) 1/,741817,748705,756628,766938,777277,787738,798586,807578,814050,817779,821923,824930,826144,825731,828470,830295,833163,837921,842626,844052
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,30425,32374,33055,33784,35215,37208,38575,41279,42338,40667,42053,43461,44157,44750,46503,48632,50040,51411,53538,55675
11020,"Altoona, PA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),3216044,3255632,3347166,3473739,3645718,3780067,3905991,4093100,4240852,4288406,4439095,4684022,4808282,4794185,4998509,5236887,5312333,5459082,5701223,5881562
11020,"Altoona, PA (Metropolitan Statistical Area)",2,Population (persons) 1/,128981,128471,127631,127353,127194,126730,127002,127048,127112,127161,127045,126970,126544,125836,125274,124596,123708,123147,122503,121829
11020,"Altoona, PA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,24934,25341,26225,27276,28663,29828,30755,32217,33363,33724,34941,36891,37997,38099,39901,42031,42943,44330,46539,48277
11100,"Amarillo, TX (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),5498336,6032585,6223104,6457721,6551667,6979629,7488900,8007872,8861933,8669319,9450943,10088683,10399720,10522802,11141029,11324431,11376011,11791320,12261607,12739902
11100,"Amarillo, TX (Metropolitan Statistical Area)",2,Population (persons) 1/,229215,230351,232326,235138,237566,240380,242656,244608,246458,249373,252664,255975,257802,258896,260812,261618,262987,264331,264406,265053
11100,"Amarillo, TX (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,23988,26189,26786,27464,27578,29036,30862,32738,35957,34764,37405,39413,40340,40645,42717,43286,43257,44608,46374,48065
11180,"Ames, IA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),2866062,2931758,3040425,3159912,3337752,3436353,3707401,3937780,4181156,3982625,3955162,4285225,4770974,4640000,4827359,4976664,5013518,5118925,5389612,5544823
11180,"Ames, IA (Metropolitan Statistical Area)",2,Population (persons) 1/,106403,106509,107971,108300,109126,109384,111210,113093,114285,115645,115925,117424,118139,120161,122092,123079,123309,123721,123093,123351
11180,"Ames, IA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,26936,27526,28160,29177,30586,31415,33337,34819,36585,34438,34118,36494,40384,38615,39539,40435,40658,41375,43785,44952
11260,"Anchorage, AK (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),10923011,11781498,12454692,12994474,13740870,14688499,15821962,17127351,18933642,18897379,20208961,21395704,21920977,21654641,22899316,23804702,23221930,23526077,24583919,25503163
11260,"Anchorage, AK (Metropolitan Statistical Area)",2,Population (persons) 1/,320618,326081,332582,337730,345245,350903,358718,360194,365633,374562,383053,387922,391932,397022,397996,398609,401368,400570,397636,396317
11260,"Anchorage, AK (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,34069,36131,37448,38476,39800,41859,44107,47550,51783,50452,52758,55155,55931,54543,57537,59719,57857,58732,61825,64350
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),11797044,12295744,12741541,13319278,13477336,13739787,14244816,14665401,15173227,14224663,15690064,15757892,16837310,16963525,17843290,18972715,19813370,20768333,21734133,22365853
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",2,Population (persons) 1/,324372,328749,332763,336154,339422,342234,344018,345310,341595,343520,345717,349753,352303,356040,360021,362975,366135,368807,369483,367601
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,36369,37402,38290,39623,39707,40147,41407,42470,44419,41409,45384,45054,47792,47645,49562,52270,54115,56312,58823,60843
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),2458198,2581886,2696488,2834971,3014164,3143525,3297240,3496846,3619662,3573396,3661982,3758530,3797108,3730360,3835683,3974840,4014894,4121206,4228930,4361788
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",2,Population (persons) 1/,111081,111266,111625,112705,113462,114477,115388,116211,117274,118363,118408,117744,117190,116471,115917,115469,114973,114710,114331,113605
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,22130,23205,24157,25154,26565,27460,28575,30090,30865,30190,30927,31921,32401,32028,33090,34423,34920,35927,36988,38394
11540,"Appleton, WI (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),6068997,6457200,6708097,6888521,7150716,7443643,7834332,8241097,8582588,8424501,8669917,9260407,9661257,9819571,10356656,10813954,11179260,11598983,12097566,12537901
11540,"Appleton, WI (Metropolitan Statistical Area)",2,Population (persons) 1/,202618,205676,208747,211350,213592,215925,218441,220368,222402,224632,225948,227548,228656,229978,231627,233146,234200,235811,237011,237974
11540,"Appleton, WI (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,29953,31395,32135,32593,33478,34473,35865,37397,38590,37504,38371,40696,42252,42698,44713,46383,47734,49188,51042,52686
11700,"Asheville, NC (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),9802549,10206175,10324403,10559781,11379433,12058452,13133638,13965943,14346845,13912930,14218227,14825509,15766749,15828039,16936240,18028032,18850941,19774194,21017694,21945716
11700,"Asheville, NC (Metropolitan Statistical Area)",2,Population (persons) 1/,370615,374904,379818,385178,390713,396408,404546,411842,417457,422014,425338,428113,430945,435795,439661,444593,450310,454855,459314,462680
11700,"Asheville, NC (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,26449,27223,27183,27415,29125,30419,32465,33911,34367,32968,33428,34630,36586,36320,38521,40550,41862,43474,45759,47432
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),3949385,4167242,4304197,4536153,4736152,4974740,5215939,5469286,5640037,5586301,5693052,5986133,6274463,6410966,6905518,7434706,7679520,8160419,8605032,8869497
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",2,Population (persons) 1/,166763,168973,170838,173847,178106,178974,183171,186781,189948,192021,193439,194375,195984,197590,198361,202565,205402,209106,211468,213750
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,23683,24662,25195,26093,26592,27796,28476,29282,29693,29092,29431,30797,32015,32446,34813,36703,37388,39025,40692,41495
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),145805210,153691997,157050560,162053533,171675804,183620829,198286961,207321580,205537728,199448720,203513558,219075355,226640964,230395527,250262945,266444291,279395622,297613678,316220617,328450133
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",2,Population (persons) 1/,4293475,4402455,4489288,4572541,4659574,4770870,4931848,5066356,5170099,5240828,5302598,5366462,5444473,5510530,5593204,5686048,5787965,5872432,5945303,6020364
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,33960,34911,34983,35441,36844,38488,40205,40921,39755,38057,38380,40823,41628,41810,44744,46859,48272,50680,53188,54557
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),8017788,7486313,7777607,8097928,8650156,9127596,9991576,10445372,10738345,10519573,10708168,11210439,11488052,11647180,11894228,12000996,12133315,12424234,12816209,13349834
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",2,Population (persons) 1/,253674,255737,259263,263285,267723,270332,271759,272303,273014,274049,274648,274621,274629,274314,272578,270153,267217,265498,263989,263670
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,31607,29273,29999,30757,32310,33764,36766,38359,39333,38386,38989,40821,41831,42459,43636,44423,45406,46796,48548,50631
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),2426741,2496907,2618477,2795736,3050305,3244253,3497039,3730858,3976256,3959421,4131431,4436858,4734318,4844011,5126011,5415988,5720244,5948184,6280809,6545660
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",2,Population (persons) 1/,115430,116819,118392,120071,122274,126133,129247,131934,134524,138566,140794,144130,148567,151809,154511,156954,159168,161440,163656,164542
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,21023,21374,22117,23284,24946,25721,27057,28278,29558,28574,29344,30784,31867,31909,33176,34507,35938,36845,38378,39781
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),12555987,12936519,13509927,14145281,14907980,15493330,16329989,17104390,17818750,18018523,18732472,19857321,20109207,20285240,21306042,22633236,23259479,24398910,25422701,26574937
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",2,Population (persons) 1/,508896,512626,516818,520120,526789,531294,538643,545524,552627,558096,566694,570849,576206,579802,583046,589574,595029,600276,604221,608980
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,24673,25236,26141,27196,28300,29162,30317,31354,32244,32286,33056,34786,34899,34986,36543,38389,39090,40646,42075,43638
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),41785194,46287123,45954032,46637119,47656359,52344576,58694122,62599379,67819889,65884392,70355303,77881693,85635903,88954305,97179427,103077251,108054841,118651329,129146253,138028065
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",2,Population (persons) 1/,1264950,1321316,1347822,1376030,1410058,1453358,1515485,1577856,1633870,1682338,1727502,1780535,1834586,1883315,1942467,2002134,2062016,2115475,2165497,2227083
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,33033,35031,34095,33893,33797,36016,38730,39674,41509,39162,40727,43741,46679,47233,50029,51484,52403,56087,59638,61977
12540,"Bakersfield, CA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),14244286,15261795,16210220,17352019,18726154,20176085,21757840,23435629,24160612,24003563,26097169,27742981,29468514,30412531,32513120,33334249,33286588,34063749,35566558,37666752
12540,"Bakersfield, CA (Metropolitan Statistical Area)",2,Population (persons) 1/,663803,676574,694059,714272,736296,760726,784511,803281,818327,830137,840996,847970,853606,862000,869176,876031,880856,887356,893758,900202
12540,"Bakersfield, CA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,21459,22557,23356,24293,25433,26522,27734,29175,29524,28915,31031,32717,34522,35281,37407,38051,37789,38388,39794,41843
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),88618199,92560218,96206347,100100963,106048601,112150514,119250613,124913017,129517393,128216434,132299439,139408288,143713198,144540375,150789783,156931804,161864493,167288930,173683854,179169101
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",2,Population (persons) 1/,2557958,2575471,2596501,2614232,2630946,2644231,2658162,2667619,2679819,2696018,2715738,2733785,2754637,2768233,2780055,2790053,2794111,2798707,2800743,2800053
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,34644,35939,37052,38291,40308,42413,44862,46826,48331,47558,48716,50995,52171,52214,54240,56247,57931,59774,62013,63988
12620,"Bangor, ME (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),3619362,3764976,3933874,4063672,4220397,4390723,4560894,4734057,4979937,5115954,5134339,5326232,5387976,5390675,5581170,5756406,5864423,6034142,6317871,6563124
12620,"Bangor, ME (Metropolitan Statistical Area)",2,Population (persons) 1/,144937,146110,147298,148759,148814,149726,151446,152232,153372,153770,153861,153759,153347,153222,153201,151929,151333,151645,151817,152148
12620,"Bangor, ME (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,24972,25768,26707,27317,28360,29325,30116,31098,32470,33270,33370,34640,35136,35182,36430,37889,38752,39791,41615,43136
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),8137835,8941917,9026209,9336749,9995700,10019742,10430717,10666425,10930166,10908145,11312044,11901890,12495574,12667996,13304509,14001940,14579039,15181333,15949290,16492955
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",2,Population (persons) 1/,223031,224087,225421,226011,224264,221995,220037,218380,217066,215994,215899,215356,214788,214518,214289,213877,213559,213581,213471,212990
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,36487,39904,40042,41311,44571,45135,47404,48843,50354,50502,52395,55266,58176,59053,62087,65467,68267,71080,74714,77435
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),18239434,19062236,19694214,20464132,22017831,24036762,26390676,28526821,30533652,30340891,31287421,33172504,34395833,35050425,36384121,37188072,38014545,39172207,41153342,42264278
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",2,Population (persons) 1/,730913,733925,738589,745536,753093,758706,795417,803339,811301,819405,827629,831493,836197,841986,846827,851167,856723,854295,854526,854884
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,24954,25973,26665,27449,29237,31681,33178,35510,37635,37028,37804,39895,41134,41628,42965,43691,44372,45853,48159,49439
12980,"Battle Creek, MI (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),3485199,3569859,3694596,3776090,3872604,3958299,4015672,4138770,4309831,4225773,4337337,4446794,4565662,4600038,4734379,4970151,5065180,5153616,5249396,5400823
12980,"Battle Creek, MI (Metropolitan Statistical Area)",2,Population (persons) 1/,138014,138158,138580,138962,139443,138946,138291,137582,137313,136301,135951,135105,134737,134751,134804,134327,134344,134180,134049,134159
12980,"Battle Creek, MI (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,25253,25839,26660,27174,27772,28488,29038,30082,31387,31003,31904,32914,33886,34137,35120,37000,37703,38408,39160,40257
13020,"Bay City, MI (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),2927851,2984729,2973868,3040997,3104842,3136649,3244442,3342207,3486594,3451493,3591408,3714333,3764382,3768444,3883372,4048099,4110220,4175285,4393535,4502212
13020,"Bay City, MI (Metropolitan Statistical Area)",2,Population (persons) 1/,110192,109836,109861,109559,109453,109165,108711,108132,108320,107913,107679,107417,106967,106794,106046,105237,104411,104045,103702,103126
13020,"Bay City, MI (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,26570,27174,27069,27757,28367,28733,29845,30909,32188,31984,33353,34579,35192,35287,36620,38466,39366,40130,42367,43657
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),9122408,9474613,9634078,10009459,10171481,10809511,11556355,12173046,13091885,12997381,13655532,14267076,14973569,14656804,15903939,16485366,16491469,17018856,17382152,17751250
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",2,Population (persons) 1/,384759,382708,383004,383208,384438,385490,379119,382330,385248,387146,389251,390905,389614,391195,391651,394825,396539,398129,393815,392563
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,23709,24757,25154,26120,26458,28041,30482,31839,33983,33572,35082,36498,38432,37467,40607,41754,41589,42747,44138,45219
13220,"Beckley, WV (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),2635309,2818716,2919090,2920825,2998233,3146912,3345516,3330674,3558327,3666513,3831216,4205227,4273243,4167737,4231288,4301190,4140593,4372759,4605556,4761221
13220,"Beckley, WV (Metropolitan Statistical Area)",2,Population (persons) 1/,126525,125318,125672,125519,125145,124570,124378,124566,124550,124816,124949,125266,125110,124356,123342,122070,120475,118673,117154,115767
13220,"Beckley, WV (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,20828,22493,23228,23270,23958,25262,26898,26738,28569,29375,30662,33570,34156,33515,34305,35235,34369,36847,39312,41128
13380,"Bellingham, WA (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),4193722,4518844,4592391,4948278,5356477,5703008,6181036,6777392,7255663,7129058,7414196,7817746,8308744,8327605,8774297,9307821,9722678,10284959,11139242,11672154
13380,"Bellingham, WA (Metropolitan Statistical Area)",2,Population (persons) 1/,167696,171172,174904,177851,181756,185450,188926,192837,196708,199865,201545,203490,204863,206073,208154,211836,216417,221410,225197,229247
13380,"Bellingham, WA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,25008,26399,26257,27823,29471,30752,32717,35146,36885,35669,36787,38418,40558,40411,42153,43939,44926,46452,49464,50915
13460,"Bend, OR (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),3239605,3519435,3647552,3867974,4177852,4669326,5347666,5672059,5887174,5441052,5493841,5869857,6354749,6805466,7343291,8275134,8985844,9812799,10672155,11159204
13460,"Bend, OR (Metropolitan Statistical Area)",2,Population (persons) 1/,116566,120526,125247,129094,133756,140567,148149,152633,156820,157345,157742,159660,161359,165299,169512,174246,180666,186744,191905,197692
13460,"Bend, OR (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,27792,29201,29123,29962,31235,33218,36097,37161,37541,34580,34828,36765,39383,41171,43320,47491,49737,52547,55612,56447
13740,"Billings, MT (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),3834193,3981393,4077183,4312089,4687756,5038739,5441236,5888403,6265573,6150664,6464005,6944674,7571769,7651979,8156468,8482472,8530962,9054678,9461062,9802775
13740,"Billings, MT (Metropolitan Statistical Area)",2,Population (persons) 1/,147378,148858,150320,151913,153672,156025,158157,160358,163165,165575,167571,169017,170942,173367,174952,176357,177759,179365,180203,181667
13740,"Billings, MT (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,26016,26746,27123,28385,30505,32294,34404,36720,38400,37147,38575,41089,44294,44137,46621,48098,47992,50482,52502,53960
13780,"Binghamton, NY (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),6548438,6647131,6756438,6794597,7079724,7188525,7639940,8117662,8589127,8732502,8946988,9184468,9459605,9485515,9643906,9876545,9968422,10466036,10678703,11095201
13780,"Binghamton, NY (Metropolitan Statistical Area)",2,Population (persons) 1/,252189,252580,253430,252932,252605,252088,252441,252442,252527,252171,251489,250238,248945,248017,247075,245283,243322,241709,240366,238691
13780,"Binghamton, NY (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,25966,26317,26660,26863,28027,28516,30264,32157,34013,34629,35576,36703,37999,38245,39032,40266,40968,43300,44427,46484
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),29065037,29816039,30747023,31944455,34533703,36624610,39197509,40894142,41871427,40129633,41703186,43452289,45684227,45556037,47530078,49933414,50839352,53543159,56272785,58200404
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",2,Population (persons) 1/,982704,988718,993201,1001781,1009575,1017818,1030584,1039561,1049266,1057924,1061717,1064030,1067563,1072882,1076087,1079752,1082877,1085615,1087967,1090435
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,29577,30156,30958,31888,34206,35983,38034,39338,39905,37932,39279,40837,42793,42461,44169,46245,46948,49321,51723,53374
13900,"Bismarck, ND (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),2549914,2738233,2798952,2989008,3171288,3375405,3593534,3895135,4196213,4383919,4776622,5302988,5951371,6244114,6823362,6992098,6927416,6985640,7278884,7511736
13900,"Bismarck, ND (Metropolitan Statistical Area)",2,Population (persons) 1/,96917,97253,98254,99128,100134,101858,103713,105648,107210,109009,111112,112865,115679,119240,122155,125325,127233,128115,128279,128949
13900,"Bismarck, ND (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,26310,28156,28487,30153,31670,33138,34649,36869,39140,40216,42989,46985,51447,52366,55858,55792,54447,54526,56743,58254
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",1,Personal income (thousands of dollars),3206203,3353078,3457909,3637297,3825327,4035455,4278763,4505172,4650254,4694430,4707296,4945493,5183007,5241762,5526496,5778761,5924430,6132976,6435256,6620300
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",2,Population (persons) 1/,151553,153348,153326,154009,154647,156402,158277,160085,161247,162385,163131,163442,164120,165240,165688,165725,166572,166605,167492,167531
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",3,Per capita personal income (dollars) 2/,21156,21866,22553,23617,24736,25802,27033,28142,28839,28909,28856,30258,31581,31722,33355,34870,35567,36811,38421,39517
14010,"Bloomington, IL (Metropolitan Statistical Area)",1,Personal income (thousands of dollars),4542422,4907531,5057574,5238755,5410568,5497638,5952977,6228179,6575955,6586058,6822087,7231627,7365615,7631307,7609034,7969221,8108610,8195140,8488859,8507653
14010,"Bloomington, IL (Metropolitan Statistical Area)",2,Population (persons) 1/,150844,152713,155882,157795,159096,160299,162925,165223,166825,168727,169810,170909,172721,175037,174105,173141,173070,172754,172410,171517
14010,"Bloomington, IL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,30113,32136,32445,33200,34008,34296,36538,37696,39418,39034,40175,42313,42645,43598,43704,46027,46852,47438,49236,49602
