"Label","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","24,800","17.9%","40.3%","34.9%","6.9%","186,607","3.7%","8.8%","41.6%","21.2%","6.3%","12.8%","5.6%","87.5%","18.4%","29,963","83.9%","19.4%","31,971","90.0%","21.9%","80,648","91.3%","18.1%","44,025","81.4%","15.9%","","20.1%","9.8%","9.1%","3.5%","","36,322","26,117","31,283","39,462","51,090","61,625","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","23,111","16.1%","29.5%","47.5%","6.9%","206,051","3.0%","7.2%","43.9%","18.8%","8.0%","12.8%","6.3%","89.8%","19.1%","29,042","89.2%","25.6%","32,366","93.8%","26.8%","84,731","93.2%","19.8%","59,912","83.2%","10.9%","","30.0%","15.4%","17.2%","6.0%","","22,740","10,330","19,853","21,800","34,440","51,281","","(X)"
"Yuba City, CA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18,022","16.1%","38.8%","40.6%","4.5%","103,665","9.7%","10.2%","23.8%","29.0%","10.5%","12.0%","4.9%","80.2%","16.9%","23,036","85.7%","13.3%","20,903","76.4%","19.6%","39,248","80.9%","17.7%","20,478","76.4%","16.6%","","33.8%","18.1%","14.6%","6.6%","","31,797","18,501","24,070","35,666","50,038","65,678","","4.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,575","20.7%","34.3%","41.7%","3.2%","51,011","9.0%","11.2%","24.7%","29.0%","10.1%","11.4%","4.6%","79.8%","16.0%","11,369","82.0%","10.5%","10,690","72.6%","17.4%","19,669","81.7%","16.4%","9,283","81.2%","20.4%","","24.1%","16.3%","12.1%","3.2%","","36,522","24,585","30,092","41,359","53,230","72,412","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,447","10.9%","43.8%","39.4%","5.9%","52,654","10.3%","9.2%","22.8%","29.0%","11.0%","12.5%","5.2%","80.5%","17.7%","11,667","89.3%","16.1%","10,213","80.4%","21.8%","19,579","80.1%","19.1%","11,195","72.3%","13.4%","","43.4%","19.9%","17.0%","9.5%","","24,912","8,499","20,424","27,882","45,690","58,460","","(X)"
"Yuma, AZ Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","23,805","18.8%","42.2%","35.5%","3.4%","121,796","15.8%","12.6%","23.7%","26.6%","7.1%","9.7%","4.6%","71.6%","14.3%","25,244","84.9%","20.6%","22,341","72.9%","15.3%","41,480","65.0%","11.9%","32,731","68.6%","11.5%","","28.0%","16.5%","11.0%","3.8%","","24,888","13,558","22,465","28,458","35,367","53,387","","5.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,685","21.0%","47.0%","28.7%","3.2%","60,040","14.7%","14.1%","24.1%","26.2%","6.6%","9.7%","4.8%","71.3%","14.4%","13,269","79.4%","18.1%","10,964","78.2%","17.1%","20,150","63.4%","12.6%","15,657","69.6%","11.9%","","26.1%","15.3%","7.8%","1.4%","","30,919","21,081","30,656","37,024","37,215","62,131","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,120","15.8%","35.7%","44.8%","3.7%","61,756","17.0%","11.2%","23.3%","27.0%","7.5%","9.7%","4.4%","71.8%","14.1%","11,975","90.9%","23.4%","11,377","67.8%","13.6%","21,330","66.5%","11.4%","17,074","67.7%","11.2%","","29.8%","17.5%","13.9%","6.1%","","18,957","6,734","15,801","22,215","31,979","47,163","","(X)"
"Zanesville, OH Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,176","10.2%","38.5%","45.8%","5.5%","57,673","2.0%","11.2%","42.2%","21.5%","9.4%","10.1%","3.6%","86.8%","13.7%","10,030","91.2%","13.0%","9,782","84.7%","24.1%","24,235","89.7%","13.1%","13,626","79.8%","7.8%","","27.5%","17.1%","11.0%","6.2%","","29,166","24,864","26,677","26,889","47,696","51,551","","3.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,223","9.2%","39.4%","43.3%","8.1%","27,265","3.1%","11.7%","48.1%","20.8%","5.5%","8.6%","2.3%","85.2%","10.9%","4,971","90.1%","10.3%","4,814","80.2%","20.3%","11,641","86.4%","9.3%","5,839","82.7%","6.8%","","28.0%","13.6%","4.8%","9.5%","","34,185","25,167","36,024","32,926","56,218","59,417","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,953","11.4%","37.5%","48.4%","2.7%","30,408","1.1%","10.7%","36.9%","22.1%","12.9%","11.5%","4.8%","88.2%","16.3%","5,059","92.3%","15.6%","4,968","89.1%","27.8%","12,594","92.8%","16.7%","7,787","77.5%","8.6%","","27.0%","21.3%","15.1%","4.2%","","23,149","23,878","17,296","21,367","46,528","50,859","","(X)"
"Aberdeen, WA Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,544","18.6%","52.1%","24.6%","4.7%","50,975","4.8%","8.6%","32.3%","29.4%","9.9%","10.8%","4.2%","86.6%","15.0%","8,403","89.4%","18.0%","8,688","77.7%","9.1%","21,347","88.1%","16.7%","12,537","88.3%","14.0%","","43.9%","12.6%","12.8%","7.5%","","27,456","16,045","24,705","28,396","43,308","40,179","","7.7%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
