"Label","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"        Estimate","10,014","8.8%","31.9%","51.6%","7.7%","52,802","5.5%","6.9%","29.4%","28.8%","6.9%","16.3%","6.2%","87.6%","22.5%","11,103","92.9%","27.9%","8,427","92.5%","26.3%","19,548","86.2%","18.7%","13,724","82.3%","21.0%","","34.2%","17.9%","17.1%","8.0%","","25,032","12,475","19,142","25,490","35,499","50,612","","(X)"
"Adrian, MI Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,868","12.8%","29.9%","49.1%","8.2%","67,507","2.8%","6.9%","36.1%","25.9%","8.1%","13.5%","6.8%","90.3%","20.2%","10,766","89.2%","18.6%","11,799","94.9%","25.3%","28,477","93.0%","22.1%","16,465","82.9%","14.4%","","23.2%","10.7%","11.7%","3.1%","","30,927","16,902","26,150","28,301","44,527","54,681","","4.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,498","14.1%","31.3%","45.2%","9.4%","33,215","2.5%","7.6%","39.5%","24.5%","7.4%","13.3%","5.2%","89.9%","18.4%","5,480","85.8%","15.8%","6,017","93.0%","18.2%","14,407","92.5%","21.0%","7,311","85.2%","15.5%","","23.9%","11.0%","4.7%","3.4%","","36,939","18,674","31,114","39,159","61,025","62,106","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,370","11.3%","28.0%","54.0%","6.8%","34,292","3.1%","6.2%","32.8%","27.1%","8.8%","13.7%","8.3%","90.7%","22.0%","5,286","92.8%","21.6%","5,782","96.9%","32.6%","14,070","93.7%","23.3%","9,154","81.1%","13.6%","","22.5%","10.4%","17.3%","2.9%","","25,242","9,394","21,343","21,216","36,734","47,369","","(X)"
"Aguadilla-Isabela, PR Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","32,539","16.2%","24.1%","52.3%","7.5%","220,236","22.1%","10.3%","27.0%","12.0%","8.8%","15.4%","4.4%","67.6%","19.8%","36,985","83.0%","25.8%","42,639","79.2%","24.2%","83,683","72.5%","21.7%","56,929","41.6%","9.9%","","68.2%","53.8%","42.2%","20.4%","","16,256","7,414","14,564","14,549","22,575","31,660","","6.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,717","20.6%","32.6%","42.2%","4.6%","104,935","23.2%","11.5%","29.8%","11.7%","7.8%","12.7%","3.3%","65.3%","16.0%","17,886","79.7%","21.7%","21,071","73.9%","15.3%","39,606","69.5%","17.3%","26,372","42.3%","10.6%","","68.3%","45.4%","33.2%","17.2%","","16,389","7,735","15,427","15,982","23,505","32,801","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,822","11.6%","15.0%","62.9%","10.5%","115,301","21.2%","9.2%","24.4%","12.3%","9.6%","17.9%","5.5%","69.7%","23.4%","19,099","86.2%","29.7%","21,568","84.3%","32.9%","44,077","75.2%","25.7%","30,557","41.1%","9.3%","","68.1%","62.9%","49.5%","22.3%","","16,111","6,635","12,125","13,633","21,017","31,131","","(X)"
"Akron, OH Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","76,266","9.8%","28.3%","52.1%","9.8%","478,955","2.1%","6.8%","32.9%","19.9%","8.4%","19.1%","10.8%","91.1%","29.9%","86,681","93.8%","34.9%","83,145","92.6%","35.3%","197,708","92.6%","29.6%","111,421","85.4%","22.6%","","25.5%","12.0%","10.4%","3.8%","","35,273","17,141","28,699","31,595","46,857","65,838","","4.6%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","38,481","11.0%","29.1%","51.2%","8.7%","226,902","2.1%","6.3%","34.4%","20.3%","6.5%","19.4%","11.1%","91.6%","30.4%","42,321","93.5%","32.8%","40,544","93.1%","32.9%","95,742","92.6%","29.8%","48,295","86.8%","27.6%","","23.0%","9.9%","7.0%","2.7%","","43,387","25,027","36,254","38,691","60,412","76,605","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","37,785","8.7%","27.4%","53.0%","10.9%","252,053","2.0%","7.3%","31.7%","19.5%","10.1%","18.8%","10.6%","90.7%","29.4%","44,360","94.2%","36.9%","42,601","92.0%","37.5%","101,966","92.5%","29.4%","63,126","84.4%","18.7%","","27.6%","14.1%","13.2%","4.9%","","28,920","12,425","22,006","26,823","37,090","55,950","","(X)"
"Alamogordo, NM Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,616","12.9%","25.3%","58.0%","3.7%","42,446","6.5%","7.5%","28.5%","25.3%","11.8%","10.5%","9.9%","86.0%","20.4%","9,220","88.5%","22.0%","6,834","87.8%","13.5%","16,026","86.1%","19.0%","10,366","82.5%","25.7%","","41.7%","15.9%","14.3%","6.0%","","25,522","10,102","26,135","22,025","31,121","58,297","","5.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,700","19.0%","29.9%","50.3%","0.8%","21,370","7.7%","7.2%","29.0%","25.7%","10.1%","11.2%","9.2%","85.1%","20.4%","5,351","86.9%","23.1%","3,694","83.4%","15.9%","7,390","84.7%","13.3%","4,935","85.0%","31.4%","","37.9%","16.5%","12.1%","2.7%","","29,770","10,125","30,431","26,775","22,263","69,683","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,916","5.3%","19.5%","67.8%","7.5%","21,076","5.3%","7.8%","28.1%","24.8%","13.6%","9.8%","10.6%","86.9%","20.4%","3,869","90.8%","20.5%","3,140","93.0%","10.7%","8,636","87.2%","23.8%","5,431","80.3%","20.4%","","44.9%","15.3%","16.4%","9.1%","","20,551","10,095","16,245","16,667","31,535","51,111","","(X)"
"Albany, GA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,195","22.8%","29.0%","42.2%","6.1%","98,047","6.0%","12.5%","29.2%","24.4%","8.9%","11.6%","7.5%","81.5%","19.0%","19,552","85.6%","17.2%","18,261","85.3%","15.4%","38,576","85.1%","22.9%","21,658","68.2%","17.0%","","42.1%","12.9%","18.8%","5.6%","","30,758","15,958","30,355","29,135","37,115","48,959","","6.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,957","27.5%","38.5%","30.7%","3.4%","44,515","6.5%","11.5%","32.9%","22.3%","7.9%","12.0%","6.9%","82.0%","18.9%","8,827","84.4%","16.1%","8,381","86.8%","13.3%","18,029","84.4%","21.0%","9,278","70.9%","22.4%","","30.8%","10.7%","15.1%","5.4%","","36,939","20,020","37,097","36,804","54,618","53,677","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,238","18.2%","19.7%","53.3%","8.8%","53,532","5.6%","13.4%","26.1%","26.1%","9.7%","11.2%","8.0%","81.1%","19.2%","10,725","86.5%","18.0%","9,880","83.9%","17.1%","20,547","85.8%","24.6%","12,380","66.1%","12.9%","","50.5%","15.0%","21.4%","5.8%","","25,562","12,127","20,124","24,696","35,141","47,829","","(X)"
"Albany, OR Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,817","21.4%","27.1%","50.4%","1.1%","82,699","2.4%","6.6%","32.2%","28.5%","9.9%","13.3%","7.2%","91.1%","20.5%","15,031","93.6%","23.1%","14,289","96.3%","32.9%","32,659","90.9%","16.0%","20,720","86.0%","17.2%","","17.3%","18.8%","13.7%","13.7%","","30,267","12,496","30,130","30,067","33,241","41,308","","4.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,716","22.2%","35.7%","42.1%","0.0%","39,875","2.7%","6.2%","34.3%","28.4%","9.6%","12.8%","6.0%","91.1%","18.8%","7,070","93.1%","23.3%","6,823","93.9%","23.4%","16,401","91.8%","14.2%","9,581","86.5%","20.3%","","22.9%","16.2%","14.8%","11.6%","","34,826","21,533","31,470","35,702","38,789","50,919","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,101","20.5%","17.3%","59.9%","2.4%","42,824","2.0%","7.0%","30.1%","28.6%","10.1%","13.8%","8.2%","91.0%","22.1%","7,961","94.0%","23.0%","7,466","98.5%","41.5%","16,258","89.9%","17.9%","11,139","85.4%","14.6%","","12.2%","21.6%","12.7%","15.3%","","26,472","11,615","27,291","23,432","30,379","27,436","","(X)"
"Albany-Schenectady-Troy, NY Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","101,779","10.3%","25.9%","49.9%","13.9%","599,924","2.4%","5.1%","27.7%","17.9%","11.5%","19.3%","16.1%","92.5%","35.4%","109,739","94.3%","42.3%","105,733","94.2%","39.5%","248,032","93.3%","34.4%","136,420","88.3%","28.4%","","24.4%","12.2%","8.4%","3.6%","","41,817","21,698","31,448","37,471","50,220","66,932","","7.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","51,831","12.0%","30.0%","47.6%","10.5%","286,829","2.6%","5.6%","28.2%","18.2%","10.5%","19.6%","15.3%","91.8%","34.9%","55,440","93.6%","37.0%","50,600","94.0%","36.5%","122,004","92.0%","33.7%","58,785","87.9%","34.0%","","21.2%","10.7%","6.6%","3.8%","","48,823","24,674","38,879","45,313","62,247","82,091","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","49,948","8.7%","21.6%","52.2%","17.5%","313,095","2.3%","4.6%","27.2%","17.5%","12.5%","19.1%","16.9%","93.1%","35.9%","54,299","95.1%","47.8%","55,133","94.4%","42.3%","126,028","94.5%","35.2%","77,635","88.5%","24.2%","","28.0%","13.6%","10.1%","3.5%","","36,629","18,897","26,306","32,287","41,490","57,894","","(X)"
"Albertville, AL Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,380","18.2%","34.7%","40.0%","7.2%","63,015","9.7%","12.2%","34.3%","19.2%","7.3%","11.2%","6.1%","78.0%","17.3%","11,140","75.3%","21.2%","12,549","79.5%","20.6%","24,028","80.8%","16.2%","15,298","74.5%","13.5%","","35.4%","15.5%","16.4%","4.2%","","25,907","16,341","21,844","29,144","40,467","50,306","","7.7%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,322","20.8%","39.0%","33.5%","6.6%","30,120","9.4%","14.9%","32.5%","20.1%","7.2%","11.4%","4.6%","75.7%","16.0%","5,482","72.9%","22.0%","6,383","75.9%","13.1%","11,699","76.5%","12.1%","6,556","76.7%","20.7%","","35.0%","15.6%","13.1%","4.7%","","29,520","16,990","27,411","37,143","43,479","52,404","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,058","15.3%","30.0%","46.9%","7.8%","32,895","10.0%","9.8%","36.0%","18.3%","7.3%","11.0%","7.5%","80.2%","18.5%","5,658","77.6%","20.4%","6,166","83.3%","28.4%","12,329","84.9%","20.1%","8,742","72.9%","8.2%","","36.0%","15.5%","19.6%","3.9%","","21,551","14,978","19,616","20,965","35,203","50,193","","(X)"
"Albuquerque, NM Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","85,089","16.9%","29.9%","46.9%","6.3%","610,522","4.6%","7.5%","25.0%","24.3%","8.2%","17.4%","13.1%","87.9%","30.5%","129,176","88.7%","26.0%","110,901","88.2%","33.2%","238,953","88.7%","31.5%","131,492","85.5%","30.7%","","38.8%","19.6%","15.0%","6.6%","","32,422","19,181","25,578","30,714","45,296","56,657","","6.5%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","42,896","21.2%","30.3%","44.3%","4.1%","295,212","4.7%","8.3%","26.9%","24.1%","7.9%","15.7%","12.5%","87.1%","28.2%","66,301","87.2%","22.2%","55,066","85.5%","25.5%","115,308","87.4%","29.4%","58,537","87.7%","35.1%","","35.9%","16.8%","12.4%","6.3%","","37,919","22,265","30,042","36,069","53,482","77,373","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","42,193","12.4%","29.5%","49.5%","8.6%","315,310","4.5%","6.8%","23.1%","24.6%","8.4%","19.0%","13.6%","88.7%","32.6%","62,875","90.3%","29.9%","55,835","90.8%","40.9%","123,645","89.9%","33.4%","72,955","83.7%","27.2%","","41.8%","22.6%","17.2%","6.9%","","29,204","14,633","20,705","25,213","40,780","51,246","","(X)"
"Alexandria, LA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,052","16.0%","40.2%","38.6%","5.2%","101,959","4.7%","10.5%","38.8%","23.1%","5.9%","11.2%","5.7%","84.8%","16.9%","20,120","89.3%","12.4%","20,198","89.2%","19.1%","38,800","81.8%","16.9%","22,841","82.1%","19.1%","","42.7%","19.6%","11.4%","6.5%","","31,346","18,367","26,392","30,214","43,566","70,470","","5.7%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,085","24.2%","42.6%","31.2%","2.1%","49,076","5.7%","12.5%","42.0%","20.2%","4.2%","10.0%","5.3%","81.7%","15.3%","10,253","85.8%","9.0%","10,273","82.6%","14.7%","18,582","78.3%","16.7%","9,968","83.0%","20.0%","","39.2%","18.1%","10.1%","6.1%","","41,516","26,182","39,323","40,016","51,926","80,440","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,967","6.4%","37.4%","47.3%","8.8%","52,883","3.8%","8.6%","35.8%","25.8%","7.6%","12.3%","6.1%","87.6%","18.4%","9,867","92.9%","16.0%","9,925","95.9%","23.5%","20,218","85.0%","17.1%","12,873","81.4%","18.4%","","46.8%","21.1%","12.1%","6.8%","","24,511","13,885","17,259","25,553","38,795","57,926","","(X)"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","76,502","11.2%","31.1%","48.5%","9.2%","573,459","3.6%","6.7%","35.4%","18.9%","9.0%","17.1%","9.3%","89.7%","26.4%","97,306","93.2%","30.6%","102,036","93.3%","32.1%","234,700","91.7%","27.0%","139,417","81.5%","18.3%","","19.2%","10.8%","7.6%","3.1%","","38,984","25,199","31,861","36,519","50,679","71,339","","5.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","38,771","12.9%","37.9%","42.6%","6.6%","274,744","3.7%","7.0%","36.6%","18.1%","8.0%","17.1%","9.4%","89.2%","26.5%","48,686","91.9%","25.1%","50,740","91.1%","29.3%","115,288","90.2%","27.1%","60,030","83.5%","24.3%","","15.7%","9.7%","6.0%","3.0%","","45,897","26,839","40,718","45,115","62,975","86,051","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","37,731","9.5%","24.1%","54.5%","11.9%","298,715","3.4%","6.4%","34.3%","19.7%","9.9%","17.1%","9.1%","90.2%","26.3%","48,620","94.4%","36.1%","51,296","95.4%","34.7%","119,412","93.0%","27.0%","79,387","80.0%","13.7%","","23.0%","11.8%","8.8%","3.2%","","31,317","21,188","24,577","30,545","42,085","61,843","","(X)"
"Altoona, PA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,965","8.3%","47.0%","35.7%","9.0%","89,091","2.9%","7.8%","45.4%","15.5%","8.3%","12.9%","7.1%","89.2%","20.0%","14,059","89.5%","26.7%","14,933","92.9%","23.8%","35,987","90.8%","17.7%","24,112","84.6%","17.2%","","33.5%","14.5%","8.8%","3.1%","","29,774","14,024","22,249","31,377","41,860","43,987","","5.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,846","8.9%","53.5%","33.0%","4.6%","42,750","3.1%","8.2%","47.2%","14.7%","7.2%","12.0%","7.5%","88.6%","19.5%","7,177","88.5%","18.8%","7,346","92.4%","21.3%","18,000","89.2%","17.3%","10,227","84.9%","22.6%","","31.5%","13.9%","8.5%","3.4%","","36,555","14,643","30,662","42,089","51,181","46,622","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,119","7.7%","39.5%","38.8%","14.0%","46,341","2.7%","7.5%","43.8%","16.2%","9.3%","13.7%","6.8%","89.8%","20.5%","6,882","90.5%","34.9%","7,587","93.3%","26.3%","17,987","92.4%","18.2%","13,885","84.3%","13.3%","","35.5%","15.0%","9.1%","2.9%","","25,321","11,173","17,043","26,944","36,660","41,428","","(X)"
