"Label","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"        Estimate","11,475","11.3%","39.6%","45.6%","3.5%","53,329","6.8%","12.0%","32.7%","24.1%","5.5%","12.2%","6.7%","81.2%","18.9%","12,884","80.3%","17.7%","10,553","82.5%","9.6%","20,517","81.4%","21.3%","9,375","80.6%","25.6%","","25.6%","10.3%","8.5%","7.1%","","32,018","21,991","27,210","33,565","50,418","74,317","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,681","10.7%","25.1%","59.5%","4.7%","52,805","6.1%","6.6%","33.4%","23.6%","7.5%","16.1%","6.7%","87.3%","22.8%","10,137","89.5%","30.4%","8,984","91.4%","19.6%","20,691","88.4%","23.1%","12,993","81.1%","18.5%","","29.5%","16.2%","13.6%","5.1%","","24,274","11,191","21,597","21,920","35,966","36,275","","(X)"
"Adrian, MI Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,123","15.3%","31.2%","48.8%","4.7%","67,334","3.6%","8.3%","35.7%","25.4%","9.2%","10.8%","7.0%","88.1%","17.8%","10,806","90.9%","19.6%","12,507","93.1%","18.3%","28,998","89.8%","16.5%","15,023","78.8%","18.5%","","16.4%","10.5%","8.5%","5.5%","","29,445","9,583","23,602","32,155","40,722","52,757","","2.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,521","21.2%","30.1%","44.2%","4.5%","33,184","4.3%","8.1%","37.0%","26.2%","8.9%","9.8%","5.6%","87.6%","15.4%","5,819","87.9%","11.6%","6,459","91.3%","19.3%","14,477","89.8%","14.3%","6,429","78.6%","17.6%","","12.4%","9.6%","6.4%","3.7%","","35,801","12,956","26,450","42,160","46,250","70,072","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,602","8.3%","32.5%","54.4%","4.8%","34,150","2.8%","8.6%","34.5%","24.5%","9.6%","11.8%","8.3%","88.7%","20.1%","4,987","94.4%","28.9%","6,048","94.9%","17.3%","14,521","89.8%","18.7%","8,594","78.9%","19.2%","","20.2%","11.4%","10.6%","6.8%","","23,071","7,334","17,593","24,777","30,821","46,063","","(X)"
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","30,568","19.9%","27.2%","45.4%","7.5%","202,478","25.6%","11.2%","25.8%","9.7%","7.9%","15.3%","4.5%","63.3%","19.9%","37,641","80.7%","23.8%","39,897","76.4%","29.1%","78,203","65.5%","19.2%","46,737","34.2%","9.9%","","69.0%","53.9%","46.3%","17.1%","","15,496","8,392","11,938","15,700","21,670","27,356","","2.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,608","23.4%","29.4%","41.8%","5.4%","95,798","26.6%","13.3%","27.7%","10.2%","6.9%","11.0%","4.3%","60.1%","15.3%","19,011","72.0%","13.1%","18,940","68.2%","18.7%","36,207","63.1%","17.6%","21,640","37.7%","10.2%","","68.6%","46.4%","34.6%","15.7%","","15,194","8,650","12,489","16,441","24,711","31,670","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,960","16.4%","24.9%","49.1%","9.6%","106,680","24.6%","9.3%","24.0%","9.3%","8.8%","19.3%","4.7%","66.1%","24.0%","18,630","89.6%","34.6%","20,957","83.9%","38.4%","41,996","67.6%","20.6%","25,097","31.3%","9.6%","","69.3%","61.6%","56.1%","17.9%","","16,116","6,563","11,125","14,336","20,122","25,245","","(X)"
"Akron, OH Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","75,713","13.0%","25.9%","51.1%","9.9%","471,771","1.9%","7.1%","33.9%","22.0%","7.8%","17.1%","10.1%","90.9%","27.2%","82,783","93.0%","34.4%","86,876","92.9%","33.3%","200,999","92.5%","25.0%","101,113","84.2%","20.5%","","31.0%","12.3%","11.4%","4.7%","","33,219","21,042","27,394","31,399","45,967","60,861","","3.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","37,413","16.0%","28.5%","48.7%","6.9%","224,555","1.8%","7.8%","33.2%","22.6%","7.2%","17.1%","10.2%","90.4%","27.4%","40,957","93.3%","28.4%","42,767","91.4%","31.0%","97,514","91.7%","25.9%","43,317","83.8%","26.1%","","27.2%","10.4%","9.2%","5.2%","","39,987","24,111","33,949","36,489","53,677","76,794","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","38,300","10.1%","23.5%","53.5%","12.9%","247,216","2.1%","6.6%","34.4%","21.4%","8.4%","17.1%","10.1%","91.3%","27.1%","41,826","92.7%","40.2%","44,109","94.4%","35.5%","103,485","93.3%","24.2%","57,796","84.4%","16.4%","","34.9%","13.9%","13.5%","4.2%","","28,341","14,589","21,822","27,481","36,672","51,946","","(X)"
"Alamogordo, NM Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,150","10.8%","34.7%","51.5%","3.0%","42,506","7.7%","11.0%","32.6%","27.4%","8.5%","7.5%","5.3%","81.3%","12.9%","8,543","83.1%","9.3%","6,990","79.1%","10.6%","17,079","84.2%","16.0%","9,894","76.4%","12.0%","","40.5%","12.3%","6.1%","7.0%","","24,890","12,093","20,382","26,472","29,239","71,250","","3.6%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,421","12.6%","31.4%","53.7%","2.2%","21,625","9.7%","9.1%","28.8%","30.6%","9.5%","6.7%","5.5%","81.1%","12.3%","4,843","85.7%","8.5%","3,901","72.3%","8.6%","8,135","84.0%","13.5%","4,746","78.8%","17.0%","","50.8%","9.0%","4.3%","3.5%","","30,626","22,081","25,183","34,351","19,525","129,587","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,729","8.0%","40.1%","47.7%","4.2%","20,881","5.5%","12.9%","36.5%","24.1%","7.5%","8.3%","5.1%","81.6%","13.5%","3,700","79.8%","10.3%","3,089","87.7%","13.2%","8,944","84.4%","18.3%","5,148","74.2%","7.4%","","30.1%","14.9%","8.4%","10.3%","","20,129","10,704","18,206","23,760","29,543","49,641","","(X)"
"Albany, GA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18,647","22.3%","34.1%","38.1%","5.5%","100,522","6.2%","17.0%","35.0%","23.2%","5.2%","7.5%","5.9%","76.8%","13.4%","21,962","73.1%","12.8%","20,400","87.2%","14.1%","38,603","80.1%","13.4%","19,557","63.7%","13.4%","","36.6%","24.7%","18.2%","6.8%","","26,346","15,693","22,867","30,313","37,209","49,347","","11.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,429","31.8%","35.7%","27.9%","4.6%","45,364","6.9%","18.8%","39.0%","20.7%","3.8%","7.6%","3.3%","74.3%","10.9%","10,101","67.0%","6.7%","9,857","81.7%","9.0%","17,549","78.4%","11.0%","7,857","65.5%","18.3%","","24.4%","23.6%","13.7%","1.5%","","30,793","18,093","27,099","41,332","51,202","48,239","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,218","12.6%","32.4%","48.5%","6.4%","55,158","5.6%","15.6%","31.8%","25.3%","6.3%","7.5%","8.0%","78.8%","15.5%","11,861","78.3%","17.9%","10,543","92.4%","18.9%","21,054","81.5%","15.3%","11,700","62.5%","10.2%","","47.9%","25.7%","20.9%","9.8%","","23,813","11,801","18,804","24,606","31,356","49,408","","(X)"
"Albany-Lebanon, OR Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,514","26.6%","35.1%","35.1%","3.2%","79,904","2.1%","6.7%","31.5%","32.6%","10.0%","11.9%","5.3%","91.2%","17.2%","14,342","92.3%","15.9%","14,293","90.4%","12.3%","32,348","94.6%","19.4%","18,921","85.3%","18.0%","","23.4%","14.6%","15.1%","7.1%","","28,742","18,653","25,453","28,663","39,481","42,455","","6.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,526","26.5%","43.6%","29.2%","0.7%","38,350","2.0%","5.6%","32.5%","31.5%","9.0%","14.8%","4.6%","92.4%","19.4%","7,227","94.8%","19.4%","7,076","91.6%","11.0%","15,559","97.2%","22.2%","8,488","82.2%","21.3%","","15.1%","13.6%","11.8%","9.1%","","38,003","22,223","35,924","37,615","43,631","50,609","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,988","26.7%","25.7%","41.7%","5.9%","41,554","2.3%","7.6%","30.5%","33.7%","10.9%","9.3%","5.8%","90.1%","15.1%","7,115","89.7%","12.4%","7,217","89.3%","13.6%","16,789","92.1%","16.8%","10,433","87.7%","15.3%","","29.1%","15.5%","17.9%","4.6%","","21,805","13,603","19,608","22,290","31,256","40,437","","(X)"
"Albany-Schenectady-Troy, NY Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","97,901","10.6%","28.1%","46.9%","14.4%","591,878","2.4%","5.5%","28.8%","17.4%","11.5%","19.0%","15.4%","92.1%","34.4%","106,680","93.7%","44.2%","109,149","93.6%","37.2%","252,070","93.6%","33.9%","123,979","86.1%","24.7%","","27.0%","10.0%","7.2%","3.7%","","40,405","17,031","31,002","38,077","48,133","61,333","","3.5%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","50,751","12.5%","29.7%","45.7%","12.1%","281,466","2.5%","5.8%","28.9%","17.4%","10.9%","19.9%","14.7%","91.8%","34.6%","53,060","93.5%","41.4%","53,407","91.8%","32.8%","122,887","92.7%","33.5%","52,112","87.8%","32.0%","","23.3%","9.6%","5.6%","3.3%","","45,297","19,778","36,334","42,962","55,823","75,949","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","47,150","8.5%","26.4%","48.2%","16.9%","310,412","2.3%","5.3%","28.8%","17.3%","12.0%","18.3%","16.0%","92.3%","34.3%","53,620","93.9%","47.0%","55,742","95.3%","41.4%","129,183","94.5%","34.2%","71,867","84.9%","19.4%","","30.5%","10.4%","8.5%","4.2%","","35,328","13,228","25,486","32,865","41,403","55,176","","(X)"
"Albertville, AL Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,795","29.0%","33.6%","32.7%","4.7%","62,451","10.0%","13.7%","33.3%","19.5%","6.1%","11.4%","5.9%","76.3%","17.3%","11,470","76.2%","20.4%","11,894","71.3%","18.2%","24,867","81.8%","18.2%","14,220","70.9%","12.5%","","27.2%","15.5%","9.9%","2.3%","","29,335","19,942","24,701","31,337","47,113","63,036","","3.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,072","29.7%","40.3%","25.7%","4.4%","30,069","11.4%","13.3%","31.8%","18.1%","6.0%","12.0%","7.3%","75.3%","19.3%","5,844","80.1%","18.7%","6,025","67.3%","14.7%","12,180","78.0%","20.7%","6,020","73.1%","21.6%","","22.9%","20.3%","5.5%","2.5%","","31,056","20,367","27,758","32,117","52,306","111,464","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,723","28.1%","24.5%","42.3%","5.0%","32,382","8.7%","14.1%","34.7%","20.9%","6.2%","10.8%","4.7%","77.2%","15.5%","5,626","72.1%","22.2%","5,869","75.4%","21.8%","12,687","85.4%","15.8%","8,200","69.3%","5.9%","","31.7%","11.3%","13.6%","2.0%","","26,403","19,087","21,116","29,691","42,183","53,232","","(X)"
"Albuquerque, NM Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","88,618","18.7%","25.4%","48.8%","7.1%","591,508","4.5%","8.0%","25.3%","24.6%","8.0%","16.5%","13.1%","87.5%","29.6%","125,665","86.9%","26.8%","113,184","88.3%","29.8%","239,041","89.2%","31.8%","113,618","83.9%","27.8%","","33.8%","19.7%","15.7%","5.4%","","31,763","20,209","24,750","29,715","41,405","56,529","","6.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","45,233","15.4%","28.7%","49.0%","6.9%","285,505","4.7%","9.1%","25.4%","23.5%","7.4%","15.9%","14.1%","86.3%","30.0%","63,257","84.5%","22.8%","57,233","88.4%","27.0%","114,729","86.9%","32.4%","50,286","84.5%","36.9%","","29.5%","19.6%","15.3%","4.5%","","36,071","23,025","27,422","33,876","51,204","75,586","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","43,385","22.1%","22.0%","48.7%","7.3%","306,003","4.3%","7.0%","25.3%","25.6%","8.5%","17.1%","12.2%","88.7%","29.2%","62,408","89.4%","30.9%","55,951","88.3%","32.7%","124,312","91.3%","31.2%","63,332","83.4%","20.6%","","38.5%","19.8%","16.0%","6.3%","","28,575","14,515","21,364","26,040","35,788","49,062","","(X)"
"Alexandria, LA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,412","18.9%","39.7%","40.4%","1.0%","100,973","6.9%","15.4%","35.2%","24.3%","5.7%","7.3%","5.1%","77.7%","12.4%","20,527","75.4%","14.3%","19,432","80.5%","12.7%","40,376","81.8%","11.2%","20,638","69.3%","12.7%","","34.6%","22.2%","11.9%","8.2%","","26,056","16,152","21,224","31,202","39,812","46,377","","3.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,864","18.3%","48.1%","33.5%","0.0%","48,806","9.1%","16.9%","35.7%","23.6%","4.4%","6.9%","3.3%","74.0%","10.2%","10,459","76.1%","15.0%","9,683","72.9%","3.3%","19,754","76.9%","9.0%","8,910","66.5%","15.0%","","31.1%","20.2%","9.4%","7.4%","","30,204","19,375","25,855","36,136","46,487","70,232","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,548","19.6%","29.6%","48.6%","2.2%","52,167","4.8%","14.1%","34.8%","24.9%","7.0%","7.7%","6.8%","81.1%","14.5%","10,068","74.7%","13.6%","9,749","88.0%","22.0%","20,622","86.5%","13.4%","11,728","71.5%","11.0%","","38.7%","24.1%","13.8%","8.8%","","23,206","13,220","17,602","25,146","36,205","44,461","","(X)"
"Allegan, MI Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,290","22.1%","38.2%","34.2%","5.5%","74,111","3.6%","6.6%","39.6%","20.4%","7.4%","14.8%","7.6%","89.9%","22.5%","12,218","91.6%","20.0%","13,865","93.1%","25.4%","33,144","93.5%","22.4%","14,884","77.4%","21.7%","","16.5%","9.8%","8.0%","2.8%","","32,644","18,487","26,249","32,087","47,739","62,942","","3.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,328","28.0%","36.7%","31.9%","3.4%","36,264","4.0%","6.6%","40.5%","20.2%","7.4%","13.0%","8.3%","89.5%","21.3%","6,132","86.7%","19.3%","6,931","90.1%","21.9%","16,567","94.0%","21.7%","6,634","80.2%","21.6%","","19.6%","7.7%","7.4%","3.6%","","41,231","19,170","36,610","45,398","51,212","68,573","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,962","15.7%","39.9%","36.7%","7.7%","37,847","3.2%","6.6%","38.6%","20.6%","7.4%","16.6%","6.9%","90.2%","23.6%","6,086","96.5%","20.8%","6,934","96.1%","29.0%","16,577","93.0%","23.2%","8,250","75.1%","21.8%","","13.4%","11.9%","8.7%","2.1%","","25,594","14,137","20,074","23,678","37,484","62,056","","(X)"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","75,491","14.6%","29.2%","47.9%","8.2%","565,096","4.5%","8.6%","35.9%","16.7%","7.9%","16.3%","10.1%","86.9%","26.4%","92,759","90.2%","34.8%","107,178","90.0%","30.6%","238,707","89.9%","27.0%","126,452","76.2%","15.3%","","21.7%","8.6%","9.2%","3.0%","","35,958","20,491","29,967","34,707","46,054","70,698","","3.7%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","38,639","16.8%","28.5%","47.8%","6.8%","268,740","4.7%","8.9%","35.2%","16.9%","6.7%","16.7%","10.9%","86.4%","27.6%","45,832","89.4%","32.0%","52,715","88.0%","28.2%","116,949","89.2%","28.5%","53,244","76.1%","21.2%","","18.3%","6.2%","6.2%","2.8%","","42,398","26,424","37,209","44,868","58,455","84,970","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","36,852","12.4%","30.0%","48.0%","9.6%","296,356","4.3%","8.4%","36.4%","16.6%","9.0%","15.9%","9.3%","87.3%","25.2%","46,927","90.9%","37.4%","54,463","91.9%","33.0%","121,758","90.4%","25.6%","73,208","76.4%","11.0%","","25.1%","10.7%","11.7%","3.3%","","29,102","11,846","22,428","29,970","37,210","57,333","","(X)"
"Altoona, PA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,540","8.4%","36.3%","44.4%","10.9%","89,065","2.3%","6.8%","49.2%","15.7%","8.0%","12.3%","5.6%","90.9%","17.9%","14,572","93.4%","27.7%","15,385","94.6%","17.5%","36,578","95.2%","17.8%","22,530","79.8%","11.9%","","25.4%","12.7%","7.1%","1.8%","","27,920","13,872","24,147","29,533","38,513","51,826","","2.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
