"Label","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"        Estimate","11,066","8.6%","32.1%","52.5%","6.8%","52,268","5.4%","9.5%","30.0%","24.7%","7.2%","16.7%","6.5%","85.1%","23.2%","10,998","92.5%","30.0%","9,420","88.5%","21.8%","18,190","83.7%","23.9%","13,660","78.4%","17.7%","","33.2%","15.3%","10.7%","5.5%","","24,274","12,886","18,484","23,348","32,349","44,245","","(X)"
"Adrian, MI Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,868","18.7%","37.0%","42.1%","2.2%","67,430","2.9%","6.8%","37.3%","25.2%","7.5%","13.6%","6.7%","90.3%","20.4%","10,839","91.1%","20.9%","12,554","89.9%","19.1%","28,335","91.7%","22.0%","15,702","87.7%","18.1%","","25.0%","14.1%","11.2%","6.7%","","28,720","21,280","25,873","28,816","36,670","41,495","","5.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,334","15.8%","41.4%","40.5%","2.3%","33,610","2.8%","7.7%","36.4%","26.4%","8.4%","12.3%","6.0%","89.5%","18.3%","5,772","90.6%","19.0%","6,781","89.6%","14.0%","14,075","89.7%","20.2%","6,982","87.9%","18.2%","","23.5%","11.7%","11.0%","4.1%","","35,484","28,033","30,338","37,248","52,336","49,757","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,534","22.2%","31.8%","44.0%","2.1%","33,820","2.9%","5.9%","38.2%","24.0%","6.7%","15.0%","7.4%","91.2%","22.4%","5,067","91.6%","23.2%","5,773","90.3%","25.1%","14,260","93.7%","23.7%","8,720","87.4%","18.1%","","26.8%","16.1%","11.5%","8.8%","","22,348","10,188","18,440","20,957","26,898","40,847","","(X)"
"Aguadilla-Isabela, PR Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","36,917","20.1%","21.5%","50.2%","8.2%","217,432","26.1%","10.6%","25.7%","10.9%","8.4%","13.6%","4.5%","63.3%","18.2%","34,396","80.7%","23.6%","43,647","77.3%","23.6%","84,730","65.3%","18.7%","54,659","37.9%","9.5%","","70.4%","46.2%","43.9%","17.1%","","14,931","7,313","13,360","15,997","22,331","26,369","","5.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,936","24.2%","22.6%","46.8%","6.4%","102,118","28.3%","12.0%","27.2%","11.1%","7.5%","11.1%","2.8%","59.7%","13.9%","15,487","76.2%","14.5%","21,880","68.4%","16.5%","39,873","60.8%","15.5%","24,878","39.9%","8.7%","","69.5%","39.9%","33.8%","12.1%","","15,198","7,275","14,085","17,484","24,703","35,751","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,981","15.3%","20.3%","54.1%","10.3%","115,314","24.1%","9.4%","24.4%","10.8%","9.3%","15.9%","6.1%","66.5%","22.0%","18,909","84.4%","31.1%","21,767","86.3%","30.9%","44,857","69.3%","21.6%","29,781","36.2%","10.2%","","71.4%","52.4%","51.9%","19.8%","","14,680","7,428","12,083","14,880","20,454","25,387","","(X)"
"Akron, OH Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","79,643","10.6%","27.4%","52.2%","9.8%","476,298","2.7%","6.2%","34.6%","19.2%","7.5%","19.3%","10.4%","91.1%","29.7%","84,223","94.7%","36.4%","83,042","92.6%","35.7%","200,724","92.1%","28.0%","108,309","85.1%","23.0%","","27.8%","13.3%","12.8%","3.6%","","35,589","20,713","27,520","31,229","50,282","64,769","","5.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","38,906","11.4%","29.3%","51.4%","7.8%","227,267","2.9%","5.9%","35.0%","19.8%","6.2%","19.1%","11.1%","91.2%","30.2%","42,249","94.7%","33.3%","40,965","91.4%","30.5%","97,258","91.9%","28.5%","46,795","86.5%","30.7%","","22.6%","12.1%","10.9%","3.0%","","42,349","24,490","33,587","40,446","61,909","75,527","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","40,737","9.8%","25.6%","53.0%","11.6%","249,031","2.5%","6.5%","34.2%","18.7%","8.7%","19.4%","9.9%","90.9%","29.3%","41,974","94.7%","39.6%","42,077","93.9%","40.8%","103,466","92.3%","27.6%","61,514","84.0%","17.2%","","32.5%","14.3%","14.4%","4.1%","","28,543","17,109","22,335","25,490","40,556","56,595","","(X)"
"Alamogordo, NM Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,244","25.0%","46.4%","27.8%","0.8%","41,794","6.0%","6.5%","32.9%","27.5%","11.3%","7.9%","7.7%","87.4%","15.7%","8,441","86.2%","11.1%","7,187","88.4%","26.1%","15,542","89.2%","15.1%","10,624","85.1%","13.1%","","43.6%","15.8%","12.6%","8.1%","","27,734","9,231","26,879","25,606","42,092","51,208","","4.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,927","40.6%","33.9%","25.0%","0.5%","20,671","6.0%","5.1%","34.7%","29.4%","9.5%","7.8%","7.4%","88.8%","15.2%","4,336","89.0%","9.5%","3,787","83.4%","21.7%","7,172","91.2%","14.4%","5,376","89.2%","16.3%","","46.4%","14.3%","6.5%","9.7%","","29,653","15,173","29,289","28,561","60,552","101,433","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,317","1.8%","65.1%","31.9%","1.3%","21,123","6.0%","7.9%","31.2%","25.7%","13.1%","8.1%","8.0%","86.1%","16.1%","4,105","83.3%","12.7%","3,400","94.0%","31.0%","8,370","87.5%","15.6%","5,248","80.9%","9.8%","","42.0%","17.3%","18.4%","6.6%","","21,916","7,966","14,703","21,883","35,810","38,843","","(X)"
"Albany, GA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,467","22.3%","35.6%","38.4%","3.7%","99,391","6.3%","13.6%","30.5%","26.1%","7.2%","9.3%","7.0%","80.1%","16.4%","19,574","85.5%","14.8%","19,452","82.9%","18.7%","40,136","82.4%","16.5%","20,229","67.7%","15.5%","","37.0%","23.2%","16.4%","5.0%","","27,094","14,493","25,514","27,453","50,352","47,634","","9.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,897","26.5%","40.5%","30.6%","2.4%","45,395","7.6%","14.9%","32.2%","25.3%","4.5%","9.9%","5.6%","77.5%","15.5%","9,536","77.3%","8.6%","8,598","81.2%","11.1%","19,175","79.2%","19.0%","8,086","70.0%","19.9%","","29.9%","26.0%","9.9%","4.6%","","31,953","19,593","31,938","31,952","68,672","57,123","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,570","17.9%","30.6%","46.5%","5.0%","53,996","5.2%","12.5%","29.1%","26.7%","9.4%","8.8%","8.3%","82.3%","17.1%","10,038","93.2%","20.8%","10,854","84.3%","24.7%","20,961","85.4%","14.1%","12,143","66.1%","12.5%","","44.2%","20.8%","20.7%","5.4%","","24,228","11,822","20,404","25,196","45,102","41,078","","(X)"
"Albany, OR Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,628","10.2%","40.8%","45.7%","3.3%","80,061","2.6%","8.5%","29.6%","30.2%","10.7%","13.1%","5.2%","88.9%","18.3%","14,408","91.0%","22.8%","14,873","87.3%","22.2%","31,284","91.3%","15.8%","19,496","84.5%","16.0%","","19.3%","21.3%","12.1%","7.4%","","29,586","24,224","22,174","29,561","41,738","46,128","","5.5%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,502","12.7%","38.4%","46.6%","2.3%","38,927","4.1%","8.4%","27.8%","30.2%","9.5%","15.5%","4.6%","87.5%","20.1%","7,186","91.4%","24.5%","7,703","87.4%","24.9%","15,010","90.0%","17.5%","9,028","80.5%","17.0%","","9.0%","24.0%","13.8%","9.1%","","35,232","30,768","30,687","36,163","51,598","34,409","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,126","7.6%","43.4%","44.6%","4.4%","41,134","1.2%","8.7%","31.4%","30.2%","12.0%","10.8%","5.8%","90.1%","16.6%","7,222","90.7%","21.2%","7,170","87.1%","19.4%","16,274","92.6%","14.3%","10,468","87.9%","15.1%","","31.6%","18.9%","10.5%","5.5%","","24,662","15,063","19,855","26,061","27,326","52,485","","(X)"
"Albany-Schenectady-Troy, NY Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","99,999","9.6%","26.1%","51.6%","12.8%","598,317","2.7%","5.2%","28.0%","17.9%","11.9%","19.3%","15.0%","92.1%","34.3%","111,298","95.2%","44.3%","105,149","93.2%","39.5%","249,688","93.0%","31.9%","132,182","87.1%","26.3%","","29.5%","13.1%","7.9%","3.3%","","41,195","19,203","29,787","39,018","52,204","63,615","","6.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","50,384","10.1%","27.6%","51.5%","10.8%","285,947","2.8%","5.2%","27.7%","18.0%","11.5%","20.8%","13.9%","92.1%","34.8%","55,405","95.0%","39.7%","52,196","92.3%","36.0%","121,226","93.1%","33.4%","57,120","86.7%","31.9%","","28.9%","11.3%","6.6%","2.9%","","47,063","22,828","34,285","43,180","61,464","81,058","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","49,615","9.1%","24.5%","51.7%","14.7%","312,370","2.6%","5.2%","28.3%","17.8%","12.2%","17.9%","15.9%","92.2%","33.8%","55,893","95.5%","48.8%","52,953","94.0%","43.0%","128,462","92.9%","30.4%","75,062","87.3%","22.0%","","30.0%","14.7%","9.0%","3.7%","","35,631","14,853","24,719","33,919","45,351","52,020","","(X)"
"Albertville, AL Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,962","12.7%","37.1%","40.8%","9.3%","63,522","9.6%","12.1%","31.4%","21.7%","9.2%","10.9%","5.0%","78.4%","16.0%","11,925","76.2%","14.1%","12,460","80.0%","19.6%","24,107","82.5%","18.2%","15,030","72.0%","10.9%","","24.8%","14.6%","9.6%","3.3%","","26,037","17,177","21,099","28,190","41,683","56,180","","6.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,030","12.5%","42.3%","44.1%","1.2%","30,153","8.3%","12.8%","32.7%","24.5%","6.0%","10.3%","5.4%","79.0%","15.7%","6,008","76.6%","7.5%","6,359","77.6%","18.2%","11,469","81.8%","19.0%","6,317","77.5%","15.0%","","22.9%","8.8%","9.1%","4.2%","","30,329","17,313","22,253","35,091","62,204","56,799","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,932","13.0%","31.9%","37.4%","17.7%","33,369","10.8%","11.4%","30.2%","19.2%","12.1%","11.5%","4.7%","77.8%","16.2%","5,917","75.8%","20.8%","6,101","82.6%","21.1%","12,638","83.1%","17.5%","8,713","68.1%","7.9%","","26.5%","20.3%","10.0%","2.4%","","23,108","17,048","20,032","23,915","40,560","53,790","","(X)"
"Albuquerque, NM Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","87,586","20.9%","27.2%","46.3%","5.5%","601,086","5.8%","6.8%","24.9%","24.2%","7.6%","17.4%","13.3%","87.4%","30.7%","126,689","88.3%","28.6%","113,032","86.3%","31.4%","236,445","89.3%","31.3%","124,920","83.7%","31.0%","","35.0%","17.0%","14.3%","6.3%","","32,484","17,063","27,006","30,567","42,114","57,363","","6.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","44,920","24.6%","29.4%","42.5%","3.5%","290,698","5.7%","6.9%","26.6%","23.4%","6.7%","16.3%","14.3%","87.4%","30.7%","64,333","87.4%","22.8%","56,790","84.7%","28.8%","114,077","88.4%","31.6%","55,498","87.7%","40.0%","","31.8%","14.1%","12.1%","5.3%","","39,165","21,112","30,917","38,839","51,492","75,873","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","42,666","17.0%","25.0%","50.3%","7.7%","310,388","5.9%","6.7%","23.3%","24.9%","8.5%","18.4%","12.3%","87.4%","30.7%","62,356","89.2%","34.6%","56,242","87.8%","34.1%","122,368","90.1%","31.0%","69,422","80.4%","23.8%","","37.9%","20.2%","16.1%","7.1%","","27,933","12,469","21,708","25,734","39,944","48,936","","(X)"
"Alexandria, LA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,464","20.0%","38.0%","32.2%","9.8%","101,927","4.9%","11.2%","37.1%","24.2%","4.9%","12.3%","5.4%","83.8%","17.7%","20,805","83.1%","14.8%","18,818","87.9%","20.2%","40,451","85.6%","18.9%","21,853","77.7%","16.3%","","28.3%","16.8%","8.8%","4.9%","","31,278","19,021","26,050","28,980","47,393","55,553","","6.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,760","28.4%","30.9%","26.0%","14.7%","49,520","5.1%","12.0%","39.7%","23.5%","3.5%","10.9%","5.3%","82.9%","16.2%","11,073","82.5%","12.0%","9,554","87.3%","14.7%","19,436","85.5%","18.1%","9,457","73.4%","18.7%","","17.3%","11.1%","4.8%","2.7%","","39,764","30,758","32,405","41,525","64,586","123,453","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,704","10.3%","46.2%","39.4%","4.1%","52,407","4.8%","10.5%","34.6%","24.8%","6.2%","13.6%","5.5%","84.8%","19.2%","9,732","83.7%","17.9%","9,264","88.6%","25.8%","21,015","85.8%","19.6%","12,396","80.9%","14.4%","","38.8%","22.2%","11.7%","6.7%","","24,833","11,753","17,276","24,381","44,664","50,095","","(X)"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","76,387","11.5%","31.7%","46.8%","10.1%","570,787","4.1%","7.2%","35.0%","16.7%","9.4%","17.3%","10.3%","88.7%","27.6%","95,734","91.0%","35.2%","104,567","91.4%","32.7%","235,059","91.9%","27.1%","135,427","79.5%","19.2%","","23.7%","10.8%","8.2%","4.0%","","37,247","20,392","30,070","36,277","52,188","71,612","","6.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","39,600","12.9%","35.8%","42.4%","8.9%","271,929","4.7%","7.0%","34.7%","16.4%","8.6%","18.1%","10.5%","88.3%","28.6%","47,217","89.5%","30.8%","51,523","90.9%","31.3%","114,475","90.7%","27.0%","58,714","80.4%","27.5%","","22.4%","9.7%","5.3%","2.2%","","46,024","28,954","34,942","44,967","64,219","93,352","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","36,787","9.9%","27.2%","51.4%","11.4%","298,858","3.6%","7.3%","35.3%","16.9%","10.1%","16.6%","10.1%","89.1%","26.7%","48,517","92.5%","39.5%","53,044","92.0%","34.2%","120,584","93.1%","27.2%","76,713","78.8%","12.9%","","24.9%","11.8%","10.6%","5.7%","","31,018","15,383","24,303","30,309","43,480","57,268","","(X)"
"Altoona, PA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,273","10.1%","44.5%","37.7%","7.7%","88,463","3.1%","6.1%","48.8%","14.3%","8.1%","14.1%","5.5%","90.8%","19.7%","13,886","91.9%","28.5%","14,663","96.4%","28.2%","35,842","93.0%","19.2%","24,072","83.6%","10.1%","","30.9%","12.4%","10.6%","2.6%","","30,892","16,467","25,203","34,017","41,275","56,255","","5.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,355","11.9%","51.2%","27.9%","8.9%","42,235","3.7%","6.0%","49.7%","14.3%","7.1%","14.1%","5.1%","90.2%","19.2%","7,022","89.5%","23.3%","7,245","95.2%","25.4%","17,688","92.3%","19.0%","10,280","83.8%","12.3%","","33.2%","11.8%","7.8%","2.8%","","39,358","17,170","31,194","42,364","52,001","65,359","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,918","8.1%","37.3%","48.3%","6.3%","46,228","2.5%","6.2%","48.0%","14.3%","9.0%","14.2%","6.0%","91.4%","20.1%","6,864","94.4%","33.9%","7,418","97.5%","30.9%","18,154","93.7%","19.4%","13,792","83.5%","8.5%","","28.6%","13.0%","13.0%","2.4%","","25,390","15,372","18,747","26,696","35,433","51,364","","(X)"
