"Label","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"        Estimate","11,455","15.8%","20.6%","44.9%","18.7%","51,718","5.9%","13.5%","27.2%","24.5%","6.4%","14.5%","7.9%","80.5%","22.4%","12,133","80.7%","23.6%","10,386","76.6%","17.1%","20,197","81.2%","20.9%","9,002","83.3%","30.4%","","24.6%","12.2%","6.0%","2.4%","","35,339","22,989","32,215","32,296","44,735","51,489","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,354","11.1%","35.7%","44.1%","9.1%","52,669","7.6%","8.1%","28.4%","30.4%","6.1%","12.2%","7.2%","84.3%","19.4%","9,933","90.7%","21.8%","9,743","87.8%","19.9%","19,938","85.0%","19.5%","13,055","75.7%","16.9%","","23.2%","18.0%","17.4%","6.6%","","21,379","7,178","18,717","21,446","29,651","49,399","","(X)"
"Adrian, MI Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,905","17.7%","28.9%","46.9%","6.5%","67,668","3.9%","5.4%","38.5%","24.1%","8.1%","12.7%","7.4%","90.7%","20.1%","11,319","93.7%","19.3%","12,952","96.1%","24.4%","28,584","92.2%","19.7%","14,813","80.8%","17.6%","","17.1%","13.1%","12.5%","7.3%","","28,335","11,436","22,176","25,857","48,110","47,178","","2.5%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,681","18.8%","36.0%","38.4%","6.9%","33,622","4.3%","6.5%","39.9%","24.2%","6.9%","12.7%","5.5%","89.3%","18.2%","6,173","90.4%","14.3%","6,597","94.4%","23.1%","14,592","89.2%","17.4%","6,260","83.0%","19.0%","","22.4%","12.6%","10.4%","4.9%","","34,943","11,027","30,159","30,534","61,647","58,278","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,224","16.5%","21.0%","56.3%","6.2%","34,046","3.5%","4.4%","37.1%","24.0%","9.2%","12.7%","9.2%","92.1%","21.9%","5,146","97.7%","25.4%","6,355","97.9%","25.8%","13,992","95.4%","22.0%","8,553","79.2%","16.6%","","10.3%","13.7%","14.3%","9.3%","","23,116","20,290","16,533","22,134","35,339","42,064","","(X)"
"Aguadilla-Isabela-San Sebasti?n, PR Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","30,340","21.9%","21.1%","51.3%","5.6%","203,050","27.3%","12.1%","25.8%","11.4%","7.5%","12.1%","3.9%","60.6%","16.0%","37,200","78.9%","21.4%","42,155","75.5%","21.6%","79,480","60.7%","15.4%","44,215","30.9%","7.1%","","65.7%","50.3%","43.8%","17.3%","","14,476","8,793","12,763","14,893","22,692","35,052","","3.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,062","32.1%","19.8%","44.0%","4.1%","97,609","28.9%","14.2%","28.2%","12.5%","6.1%","7.6%","2.4%","56.9%","10.1%","18,600","74.7%","12.7%","20,591","64.6%","12.0%","37,576","57.8%","9.3%","20,842","31.7%","7.4%","","66.0%","44.7%","35.4%","14.3%","","14,345","9,058","13,722","16,809","28,480","31,845","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,278","11.9%","22.5%","58.5%","7.1%","105,441","25.7%","10.2%","23.5%","10.4%","8.8%","16.2%","5.2%","64.1%","21.5%","18,600","83.0%","30.1%","21,564","86.0%","30.8%","41,904","63.4%","21.0%","23,373","30.2%","6.9%","","65.3%","56.5%","51.3%","18.6%","","14,640","7,382","11,323","12,441","20,707","35,260","","(X)"
"Akron, OH Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","74,707","14.4%","25.9%","50.0%","9.7%","471,659","2.5%","8.2%","33.6%","19.4%","7.8%","18.9%","9.6%","89.3%","28.5%","82,563","90.0%","33.6%","88,067","94.9%","38.5%","200,403","91.9%","27.3%","100,626","78.7%","18.1%","","28.8%","11.1%","12.2%","3.4%","","33,417","16,044","27,282","30,489","47,175","61,883","","3.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","37,741","17.2%","28.7%","46.2%","7.9%","223,448","2.8%","8.2%","35.2%","18.6%","6.3%","19.0%","9.8%","89.0%","28.8%","40,549","88.3%","30.3%","42,844","94.0%","33.7%","97,392","91.3%","28.7%","42,663","79.5%","22.7%","","24.8%","10.9%","9.4%","3.2%","","40,904","19,657","33,318","38,665","61,007","73,371","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","36,966","11.5%","23.1%","53.8%","11.6%","248,211","2.2%","8.2%","32.2%","20.0%","9.1%","18.8%","9.5%","89.6%","28.2%","42,014","91.7%","36.7%","45,223","95.8%","43.0%","103,011","92.4%","25.9%","57,963","78.2%","14.7%","","32.5%","11.3%","14.3%","3.6%","","27,438","12,076","22,326","25,586","39,547","52,771","","(X)"
"Albany, GA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,069","22.9%","29.1%","45.8%","2.2%","103,864","6.7%","16.0%","29.5%","26.4%","5.6%","8.8%","7.1%","77.3%","15.8%","20,889","81.8%","14.4%","20,101","82.2%","14.1%","42,468","77.9%","18.0%","20,406","66.5%","14.4%","","41.5%","20.8%","16.7%","4.9%","","27,193","13,773","24,709","28,197","41,441","58,801","","8.5%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,526","28.7%","31.2%","38.7%","1.4%","47,409","6.8%","17.4%","32.7%","22.8%","5.0%","8.5%","6.8%","75.8%","15.3%","9,676","76.7%","11.0%","9,840","80.8%","14.0%","19,353","75.8%","17.3%","8,540","68.8%","16.9%","","34.8%","19.8%","13.8%","2.2%","","31,050","16,541","27,159","36,000","45,520","65,168","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,543","17.1%","27.0%","52.8%","3.0%","56,455","6.6%","14.8%","26.9%","29.4%","6.0%","9.0%","7.3%","78.5%","16.3%","11,213","86.2%","17.2%","10,261","83.4%","14.2%","23,115","79.7%","18.6%","11,866","64.8%","12.6%","","47.0%","21.8%","18.7%","6.9%","","23,065","11,198","21,761","22,351","39,478","58,316","","(X)"
"Albany-Lebanon, OR Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,108","20.3%","30.5%","43.0%","6.2%","79,626","2.5%","7.7%","31.4%","30.7%","9.4%","13.9%","4.5%","89.8%","18.4%","15,247","90.0%","21.4%","13,709","92.3%","18.8%","32,473","93.6%","18.7%","18,197","81.2%","14.8%","","31.6%","12.1%","11.3%","5.8%","","27,911","16,574","28,024","26,487","38,987","52,170","","3.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,531","9.5%","36.0%","41.9%","12.5%","38,387","1.8%","7.9%","33.0%","27.4%","9.5%","14.6%","5.8%","90.3%","20.4%","7,709","90.8%","22.5%","6,771","93.3%","20.5%","15,906","93.5%","20.2%","8,001","81.0%","18.7%","","26.2%","10.6%","11.3%","7.1%","","35,827","25,092","36,378","33,007","37,428","61,813","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,577","30.9%","24.9%","44.1%","0.0%","41,239","3.2%","7.4%","29.9%","33.7%","9.3%","13.2%","3.3%","89.4%","16.5%","7,538","89.3%","20.4%","6,938","91.3%","17.2%","16,567","93.6%","17.3%","10,196","81.4%","11.8%","","36.2%","13.7%","11.4%","4.3%","","23,646","9,067","22,425","23,269","40,055","31,097","","(X)"
"Albany-Schenectady-Troy, NY Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","96,520","7.9%","29.4%","47.5%","15.3%","588,842","2.7%","6.2%","28.6%","17.8%","11.6%","18.4%","14.8%","91.1%","33.2%","104,963","92.0%","41.2%","114,334","94.2%","35.9%","247,732","93.6%","33.9%","121,813","82.4%","22.3%","","24.4%","12.1%","6.9%","3.4%","","39,136","20,203","29,150","36,819","50,682","60,956","","3.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","50,190","8.8%","30.9%","46.2%","14.1%","280,234","2.8%","6.4%","27.8%","17.9%","11.3%","19.6%","14.2%","90.8%","33.9%","52,095","91.7%","37.3%","55,080","93.2%","34.9%","121,618","92.8%","34.4%","51,441","82.6%","28.2%","","20.4%","10.2%","6.9%","3.0%","","45,671","21,721","35,741","43,513","58,382","76,820","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","46,330","6.9%","27.7%","48.8%","16.6%","308,608","2.5%","6.1%","29.3%","17.7%","11.9%","17.2%","15.3%","91.4%","32.5%","52,868","92.3%","45.0%","59,254","95.1%","36.8%","126,114","94.4%","33.5%","70,372","82.2%","17.9%","","28.4%","13.8%","6.8%","3.8%","","32,491","15,544","24,657","31,772","41,539","52,392","","(X)"
"Albertville, AL Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,333","35.7%","28.7%","33.9%","1.7%","60,947","11.7%","11.0%","33.1%","22.2%","9.0%","7.5%","5.4%","77.3%","13.0%","10,844","66.8%","8.9%","12,531","82.8%","17.4%","23,898","84.7%","15.4%","13,674","67.5%","8.1%","","28.1%","12.6%","12.3%","4.4%","","24,498","15,252","25,701","26,954","46,366","50,633","","7.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,595","36.1%","27.4%","35.0%","1.5%","28,977","13.3%","10.4%","32.0%","21.8%","7.9%","9.2%","5.3%","76.3%","14.5%","5,599","63.1%","10.3%","5,831","80.1%","13.8%","11,650","85.1%","17.5%","5,897","67.5%","13.2%","","19.7%","7.9%","6.5%","8.3%","","30,480","15,329","33,470","32,168","61,181","72,109","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,738","35.2%","30.4%","32.5%","2.0%","31,970","10.3%","11.5%","34.1%","22.5%","10.0%","6.0%","5.6%","78.2%","11.6%","5,245","70.7%","7.3%","6,700","85.2%","20.6%","12,248","84.4%","13.3%","7,777","67.5%","4.1%","","36.5%","16.5%","17.2%","0.0%","","22,111","9,898","21,371","22,104","45,124","46,081","","(X)"
"Albuquerque, NM Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","87,223","17.7%","30.2%","45.4%","6.8%","586,710","5.9%","7.3%","24.6%","26.1%","6.8%","16.6%","12.6%","86.8%","29.3%","123,051","86.5%","24.9%","114,756","86.0%","30.4%","238,268","88.9%","31.7%","110,635","83.6%","27.8%","","29.8%","15.2%","11.8%","5.4%","","32,874","17,854","27,154","31,724","44,549","52,228","","6.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","44,242","21.2%","33.3%","40.3%","5.2%","283,117","6.4%","7.5%","24.7%","25.0%","6.4%","16.6%","13.5%","86.1%","30.1%","62,357","86.3%","22.2%","57,491","83.6%","29.4%","114,606","87.4%","32.6%","48,663","85.8%","35.4%","","25.5%","13.9%","9.9%","5.6%","","38,939","19,925","32,026","37,875","52,451","65,614","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","42,981","14.0%","27.0%","50.7%","8.4%","303,593","5.4%","7.1%","24.6%","27.1%","7.3%","16.6%","11.9%","87.5%","28.5%","60,694","86.7%","27.8%","57,265","88.4%","31.4%","123,662","90.3%","30.8%","61,972","81.9%","21.8%","","34.0%","16.5%","13.4%","5.2%","","28,194","14,672","21,931","27,176","39,079","45,796","","(X)"
"Alexandria, LA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,711","21.9%","42.2%","34.2%","1.6%","101,933","6.6%","11.9%","37.0%","22.3%","5.5%","12.1%","4.7%","81.6%","16.8%","19,821","82.9%","16.3%","20,951","80.7%","16.4%","39,836","84.2%","16.5%","21,325","76.2%","18.2%","","32.8%","14.3%","14.0%","2.1%","","30,289","15,093","26,884","24,396","44,532","44,893","","3.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,024","31.0%","35.7%","33.4%","0.0%","49,334","8.2%","12.0%","39.7%","20.3%","3.6%","11.4%","4.8%","79.8%","16.2%","10,179","82.6%","15.6%","11,135","75.0%","10.0%","19,098","80.6%","16.3%","8,922","80.7%","24.3%","","28.6%","10.9%","8.0%","2.0%","","36,246","17,559","34,071","41,172","46,657","58,516","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,687","12.4%","49.1%","35.2%","3.3%","52,599","5.1%","11.7%","34.5%","24.1%","7.3%","12.8%","4.6%","83.2%","17.4%","9,642","83.3%","17.2%","9,816","87.2%","23.6%","20,738","87.5%","16.7%","12,403","73.0%","13.9%","","37.1%","17.4%","17.7%","2.2%","","22,072","12,430","20,465","20,105","42,422","38,696","","(X)"
"Allegan, MI Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,612","15.3%","40.6%","44.0%","0.0%","73,494","2.9%","5.6%","42.2%","23.9%","6.9%","12.8%","5.7%","91.5%","18.5%","12,040","93.6%","21.4%","14,951","96.1%","22.3%","32,198","93.7%","16.8%","14,305","79.8%","15.9%","","23.9%","19.5%","9.9%","4.0%","","27,376","19,289","24,455","25,488","46,995","56,334","","5.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,104","22.6%","39.7%","37.7%","0.0%","36,175","4.2%","6.3%","41.7%","23.1%","6.6%","12.4%","5.7%","89.6%","18.1%","5,716","91.9%","21.0%","7,927","96.5%","24.2%","16,077","91.5%","14.2%","6,455","74.2%","18.2%","","25.9%","16.8%","8.8%","6.1%","","36,516","21,547","35,064","35,093","56,178","56,149","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,508","8.7%","41.5%","49.8%","0.0%","37,319","1.7%","4.9%","42.6%","24.6%","7.2%","13.1%","5.7%","93.3%","18.9%","6,324","95.3%","21.8%","7,024","95.6%","20.3%","16,121","95.9%","19.5%","7,850","84.5%","14.0%","","20.8%","22.1%","10.9%","2.1%","","20,756","15,716","19,105","18,718","35,327","60,079","","(X)"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","72,601","12.5%","30.7%","47.2%","9.6%","562,161","3.8%","8.5%","35.0%","17.9%","8.1%","16.6%","10.1%","87.7%","26.6%","92,391","90.9%","33.2%","110,323","92.5%","33.0%","234,311","89.9%","26.6%","125,136","76.8%","16.3%","","23.4%","9.5%","7.2%","2.7%","","36,343","20,900","29,670","32,271","50,153","64,770","","3.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","37,450","14.3%","31.7%","45.3%","8.6%","266,972","3.6%","8.5%","34.7%","18.5%","7.7%","16.6%","10.4%","87.9%","27.0%","45,678","89.2%","27.0%","53,722","89.6%","29.5%","114,802","89.7%","27.8%","52,770","81.4%","22.8%","","22.7%","8.7%","5.5%","2.3%","","44,113","25,382","38,185","41,347","62,489","80,955","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","35,151","10.5%","29.7%","49.1%","10.7%","295,189","4.0%","8.5%","35.4%","17.3%","8.5%","16.5%","9.7%","87.4%","26.3%","46,713","92.5%","39.3%","56,601","95.3%","36.3%","119,509","90.2%","25.4%","72,366","73.4%","11.5%","","24.0%","10.2%","8.8%","3.1%","","28,819","15,343","21,871","26,280","40,078","55,496","","(X)"
"Altoona, PA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,978","12.0%","38.8%","41.6%","7.6%","88,254","3.6%","6.3%","50.9%","15.6%","7.4%","10.8%","5.3%","90.1%","16.1%","14,255","93.4%","25.8%","14,920","95.5%","21.2%","36,637","94.0%","15.8%","22,442","77.8%","7.1%","","21.0%","11.1%","5.9%","5.2%","","28,355","21,188","24,414","30,397","41,588","51,450","","3.5%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,449","15.0%","46.1%","34.5%","4.4%","41,761","2.8%","6.8%","51.9%","15.4%","5.7%","10.4%","7.0%","90.4%","17.4%","7,413","91.6%","19.1%","7,343","95.5%","20.1%","17,852","93.4%","18.6%","9,153","79.5%","11.4%","","17.7%","7.7%","4.8%","6.7%","","35,214","38,640","30,243","38,618","51,916","65,080","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,529","8.4%","30.3%","50.0%","11.4%","46,493","4.3%","5.9%","50.0%","15.7%","9.0%","11.3%","3.8%","89.7%","15.0%","6,842","95.4%","33.1%","7,577","95.5%","22.3%","18,785","94.6%","13.2%","13,289","76.6%","4.1%","","23.8%","14.2%","6.8%","3.6%","","22,146","14,009","19,100","25,128","40,911","44,076","","(X)"
"Amarillo, TX Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","26,456","21.8%","30.1%","43.4%","4.7%","159,228","6.5%","10.0%","25.1%","26.6%","7.1%","17.1%","7.5%","83.4%","24.7%","34,842","83.5%","29.8%","32,652","79.3%","20.1%","62,349","86.3%","25.4%","29,385","81.9%","22.1%","","27.7%","14.2%","8.4%","2.2%","","31,364","19,086","25,124","30,934","43,061","55,210","","4.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
