State,City,PD,Black People Killed by Police (1/1/2013-12/31/2019),Hispanic People Killed by Police (1/1/2013-12/31/2019),Native American People Killed by Police (1/1/2013-12/31/2019),Asian People Killed by Police (1/1/2013-12/31/2019),Pacific Islanders Killed by Police (1/1/2013-12/31/2019),White People Killed by Police (1/1/2013-12/31/2019),Unknown Race People Killed by Police (1/1/2013-12/31/2019),All People Killed by Police (1/1/2013-12/31/2019),Total,Black,White,Amer. Indian,Asian,Hawaiian,Asian/Pacific Islander,Other,"Two or
more races",Hispanic,Black-White Dissimilarity Index (2010),"Murder and
nonnegligent manslaughter",Murder Rate,Avg Annual Police Homicide Rate,Avg Annual Police Homicide Rate for Black People,Avg Annual Police Homicide Rate for White People,Avg Annual Police Homicide Rate for Hispanic People,Black-White Disparity,Hispanic-White Disparity,Violent crimes 2013 (if reported by agency),Violent crimes 2014 (if reported by agency),Violent crimes 2015 (if reported by agency),Violent crimes 2016 (if reported by agency),Violent crimes 2017 (if reported by agency),Violent crimes 2018 (if reported by agency),Average Violent Crimes Reported (2013-17),Violent Crime Rate,2013 Total Arrests (UCR Data),2014 Total Arrests,2015 Total Arrests,2016 Total Arrests,2017 Total Arrests,2018 Total Arrests,Estimated Average Arrests per Year,Killings by Police per 10k Arrests
Colorado,Colorado Springs,Colorado Springs Police Department,2,2,,,,10,1,15,"416,427","24,391","294,598","2,403","12,206","1,092",13298,768,"14,103","66,866",34.71,20,4.8,5.1,11.7,4.8,4.3,2.42,0.88,1893,2039,1983,2301,2479,2617,2218.7,5.3,17106,20316,22020,20489,21462,16670,20191.4,7.4
Ohio,Columbus,Columbus Division of Police,27,,,,,11,1,39,"787,033","217,694","466,615","1,643","31,734",462,32196,"2,032","22,494","44,359",53.80,83,10.5,7.1,17.7,3.4,0.0,5.26,0.00,1022,4563,4631,4500,4478,4416,3935.0,5.0,12745,8663,9942,10092,9412,10954,9812.6,39.7
Texas,Corpus Christi,Corpus Christi Police Department,1,5,,,,1,,7,"305,215","11,912","101,593",792,"5,398",204,5602,369,"2,766","182,181",40.15,27,8.8,3.3,12.0,1.4,3.9,8.53,2.79,1939,2094,2092,2328,2313,2488,2209.0,7.2,16900,17443,19278,19747,16655,16238,17872.2,3.9
Texas,Dallas,Dallas Police Department,15,11,,,,12,2,40,"1,197,816","294,159","345,205","3,167","33,609",311,33920,"1,824","12,232","507,309",66.13,116,9.7,4.8,7.3,5.0,3.1,1.47,0.62,8330,8457,9038,10071,10369,10422,9447.8,7.9,46332,33225,26666,34498,31372,29772,31106.6,12.9
District of Columbia,Washington,DC Metropolitan Police Department,16,,,,,1,2,19,"601,723","301,053","209,464","1,322","20,818",216,21034,"1,451","12,650","54,749",72.18,31,5.2,4.5,7.6,0.7,0.0,11.13,0.00,7880,7810,8084,7711,6584,6613,7447.0,12.4,41630,41186,36219,44175,53028,47147,44351,4.3
Colorado,Denver,Denver Police Department,1,13,1,2,,9,4,30,"600,158","58,388","313,012","3,525","19,925",495,20420,"1,208","12,640","190,965",54.69,298,49.7,7.1,2.4,4.1,9.7,0.60,2.37,4087,3983,4599,4597,4774,5262,4550.3,7.6,22343,29752,30118,29993,29372,29520,29751,10.1
Michigan,Detroit,Detroit Police Department,7,1,,,,,5,13,"713,777","586,573","55,604","1,927","7,436",82,7518,994,"12,482","48,679",59.17,21,2.9,2.6,1.7,0.0,2.9,#DIV/0!,No White People were Killed by Police,14504,13616,11846,13705,13796,13478,13490.8,18.9,14737,13383,10849,10883,9701,10734,11110,11.7
North Carolina,Durham,Durham Police Department,5,1,,,,1,,7,"228,330","92,285","86,519",611,"11,478",129,11607,616,"4,233","32,459",47.92,21,9.2,4.4,7.7,1.7,4.4,4.69,2.67,,1834,2185,,,,2009.5,8.8,5793,5699,4663,3546,3772,4596,4455.2,15.7
Texas,El Paso,El Paso Police Department,2,7,,,,5,2,16,"649,121","18,155","92,426","1,633","7,092",737,7829,543,"4,814","523,721",30.84,12,1.8,3.5,15.7,7.7,1.9,2.04,0.25,2522,2671,2515,2682,2609,2554,2592.2,4.0,20469,19539,18192,16874,16838,16264,17541.4,9.1
Indiana,Fort Wayne,Fort Wayne Police Department,5,1,,,,3,,9,"253,691","38,514","178,436",730,"8,279",91,8370,542,"6,899","20,200",54.29,48,18.9,5.1,18.5,2.4,7.1,7.72,2.94,949,816,984,1040,952,1024,960.8,3.8,,5331,5054,5365,5694,5897,5468.2,16.5
Texas,Fort Worth,Fort Worth Police Department,9,5,,,,6,7,27,"741,206","136,941","309,312","2,481","27,095",615,27710,993,"11,301","252,468",54.99,1,0.1,5.2,9.4,2.8,2.8,3.39,1.02,4440,4492,4382,4515,5359,4835,4670.5,6.3,32694,19452,26640,24587,23168,19863,22742,11.9
California,Fremont,Fremont Police Department,1,1,,2,,1,2,7,"214,089","6,743","56,766",458,"107,679","1,064",108743,388,"9,293","31,698",22.04,47,22.0,4.7,21.2,2.5,4.5,8.42,1.79,273,284,337,420,431,502,374.5,1.7,2913,3040,2566,2422,2405,2741,2634.8,26.6
California,Fresno,Fresno Police Department,1,15,,2,,4,1,23,"494,665","37,885","148,598","3,127","60,939",663,61602,984,"10,414","232,055",42.01,5,1.0,6.6,3.8,3.8,9.2,0.98,2.40,2552,2382,2871,3206,2974,2953,2823.0,5.7,30580,32118,25068,19212,19070,22527,23599,9.7
Texas,Garland,Garland Police Department,2,1,,1,,3,1,8,"226,876","32,164","83,259",789,"21,162",65,21227,308,"3,345","85,784",25.05,13,5.7,5.0,8.9,5.1,1.7,1.73,0.32,514,644,709,767,748,659,673.5,3.0,8597,8147,7561,6973,6958,7060,7339.8,10.9
Arizona,Glendale,Glendale Police Department,2,3,,,,5,,10,"226,721","12,766","116,866","2,707","8,618",355,8973,329,"4,579","80,501",39.14,23,10.1,6.3,22.4,6.1,5.3,3.66,0.87,905,186,943,1204,1217,1167,937.0,4.1,4530,3477,3692,,2949,5405,3880.75,25.8
North Carolina,Greensboro,Greensboro Police Department,1,,,1,,1,,3,"269,666","108,233","122,888","1,096","10,711",128,10839,703,"5,571","20,336",56.62,3,1.1,1.6,1.3,1.2,0.0,1.14,0.00,1449,1346,1707,,,,1500.7,5.6,18013,16273,13601,11536,13247,10665,13064.4,2.3
Nevada,Henderson,Henderson Police Department,1,2,,,,3,1,7,"257,729","12,471","177,039","1,182","18,172","1,354",19526,479,"8,655","38,377",20.75,6,2.3,3.9,11.5,2.4,7.4,4.73,3.08,367,452,476,617,554,583,508.2,2.0,9279,9139,8954,9846,9414,12111,9892.8,7.1
Florida,Hialeah,Hialeah Police Department,1,2,,,,1,,4,"224,669","6,066","9,511",73,697,2,699,119,253,"69,599",41.50,16,7.1,2.5,23.6,15.0,4.1,1.57,0.27,774,782,767,580,473,533,651.5,2.9,9403,8456,7950,7153,5026,6160,6949,5.8
Hawaii,Honolulu,Honolulu Police Department,,3,,1,10,4,2,20,"953,206","26,690","171,577",517,"409,879","91,508",501387,,"215,424","95,321",30.28,242,25.4,3.0,0.0,3.3,4.5,0.00,1.35,,,2437,3331,2440,2451,2664.8,2.8,,,,,,,#DIV/0!,
Texas,Houston,Houston Police Department,33,19,,1,,11,3,67,"2,099,451","485,956","537,901","3,528","124,859",711,125570,"4,128","22,700","919,668",68.57,136,6.5,4.6,9.7,2.9,3.0,3.32,1.01,20993,22008,21994,23960,25609,24062,23104.3,11.0,85551,65821,56317,57867,47449,43036,54098,12.4
Indiana,Indianapolis,Indianapolis Metropolitan Police Department,16,,,,,10,,26,"820,445","223,053","480,960","1,760","17,053",274,17327,"2,123","17,870","77,352",55.87,0,0.0,4.5,10.2,3.0,0.0,3.45,0.00,10479,10768,11124,11907,11616,11170,11177.3,13.6,39493,33825,39620,37235,40668,34286,37126.8,7.0
California,Irvine,Irvine Police Department,,,,,,,,0,"212,375","3,494","95,822",199,"82,722",295,83017,554,"9,668","19,621",18.75,5,2.4,0.0,0.0,0.0,0.0,No People were Killed by Police,No People were Killed by Police,113,120,144,152,169,160,143.0,0.7,2742,2500,2988,3337,2782,2064,2734.2,0.0
Texas,Irving,Irving Police Department,2,2,,1,,2,,7,"216,290","25,550","66,559",807,"30,161",221,30382,434,"3,591","88,967",36.65,96,44.4,4.6,11.2,4.3,3.2,2.61,0.75,530,512,469,521,549,510,515.2,2.4,10329,7077,5831,5281,5464,5854,5901.4,11.9
Florida,Jacksonville,Jacksonville Sheriff's Office,20,,,,,16,3,39,"821,784","247,516","452,525","2,687","34,731",668,35399,"1,949","18,223","63,485",47.54,24,2.9,6.8,11.5,5.1,0.0,2.29,0.00,5246,5853,5622,5504,5648,5381,5542.3,6.7,25922,25439,25969,24883,24313,26230,25366.8,15.4
New Jersey,Jersey City,Jersey City Police Department,8,,,,,,,8,"247,597","59,060","53,236",586,"58,106",95,58201,"2,423","5,835","68,256",58.69,78,31.5,4.6,19.4,0.0,0.0,No White People were Killed by Police,No White People were Killed by Police,1655,1381,1383,1276,1365,1233,1382.2,5.6,8239,7334,7670,7732,6071,2972,6355.8,12.6
Missouri,Kansas City Missouri,Kansas City Police Department,17,,,,1,7,3,28,"459,787","135,916","252,257","1,823","11,275",787,12062,709,"11,067","45,953",62.23,14,3.0,8.7,17.9,4.0,0.0,4.51,0.00,5864,5862,6709,7915,8362,7842,7092.3,15.4,11828,12336,10886,10629,10710,10796,11071.4,25.3
Texas,Laredo,Laredo Police Department,,7,,,,1,,8,"236,091",478,"8,086",87,"1,313",11,1324,121,245,"225,750",29.02,122,51.7,4.8,0.0,17.7,4.4,0.00,0.25,1027,976,972,940,839,890,940.7,4.0,8202,8125,8196,6945,4564,5991,6764.2,11.8
Nevada,Las Vegas,Las Vegas Metropolitan Police Department,12,14,1,1,,27,4,59,"2,027,868","62,008","279,703","2,391","34,606","3,103",37709,"1,101","16,985","183,859",32.44,20,1.0,4.2,27.6,13.8,10.9,2.00,0.79,11374,12876,14383,13520,10071,9949,12028.8,5.9,78230,70950,65575,67664,68602,75653,69688.8,8.5
Kentucky,Lexington,Lexington Police Department,1,,,,,2,,3,"295,803","42,336","216,072",599,"9,506",107,9613,546,"6,163","20,474",40.93,7,2.4,1.4,3.4,1.3,0.0,2.55,0.00,946,1041,1044,1079,1131,982,1037.2,3.5,9189,8202,13310,13034,17257,19232,14207,2.1
Nebraska,Lincoln,Lincoln Police Department,2,,,,,1,,3,"258,379","9,541","214,739","1,611","9,711",128,9839,353,"6,114","16,182",32.16,23,8.9,1.7,29.9,0.7,0.0,45.01,0.00,990,918,1025,1006,,1045,996.8,3.9,13366,14839,13518,13053,,12874,13571,2.2
California,Long Beach,Long Beach Police Department,7,8,,4,,5,,24,"462,257","59,925","135,698","1,349","58,268","4,915",63183,"1,118","12,572","188,412",57.35,260,56.2,7.4,16.7,5.3,6.1,3.17,1.15,2346,2304,2766,2846,3101,3284,2774.5,6.0,18346,19109,15411,14726,12145,13362,14950.6,16.1
California,Los Angeles,Los Angeles Police Department,27,71,,2,,20,3,123,"3,792,621","347,380","1,086,908","6,589","420,212","4,300",424512,"12,057","76,353","1,838,822",66.91,56,1.5,4.6,11.1,2.6,5.5,4.22,2.10,16524,19171,25156,28817,30507,30126,25050.2,6.6,90436,83187,71732,68768,64440,58688,69363,17.7
Kentucky,Louisville,Louisville Metro Police Department,12,,,1,,7,2,22,"597,337","135,138","408,157","1,289","12,764",347,13111,"1,018","11,834","26,790",55.44,12,2.0,5.3,12.7,2.5,0.0,5.18,0.00,3644,4015,4315,4638,4596,4232,4240.0,7.1,31716,34606,41338,40838,42199,41453,40086.8,5.5
Texas,Lubbock,Lubbock Police Department,,3,,,,,,3,"229,573","18,744","127,915",845,"5,471",147,5618,241,"2,585","73,625",47.23,7,3.0,1.9,0.0,0.0,5.8,#DIV/0!,#DIV/0!,1829,2084,2391,2741,,2565,2322.0,10.1,8861,7695,8092,7679,7129,7496,7618.2,3.9
Wisconsin,Madison,Madison Police Department,3,,,,,5,,8,"233,209","16,507","176,463",763,"17,126",67,17193,374,"5,961","15,948",36.64,140,60.0,4.9,26.0,4.0,0.0,6.41,0.00,884,846,890,832,958,1043,908.8,3.9,9265,9363,9382,8324,7925,8016,8602,9.3
Tennessee,Memphis,Memphis Police Department,15,1,,,,4,4,24,"646,889","408,075","177,735","1,186","10,067",159,10226,742,"6,931","41,994",67.86,13,2.0,5.3,5.3,3.2,3.4,1.63,1.06,10894,11399,11449,11947,13077,12674,11906.7,18.4,47866,39655,34280,31793,30103,31342,33434.6,7.2
Arizona,Mesa,Mesa Police Department,,7,2,,,14,2,25,"439,041","14,101","282,505","8,359","8,174","1,532",9706,555,"8,062","115,753",29.54,81,18.4,8.1,0.0,7.1,8.6,0.00,1.22,1807,2119,1972,2051,2047,1837,1972.2,4.5,24509,24120,25723,22995,24344,20800,23596.4,10.6
Tennessee,Nashville,Metropolitan Nashville Police Department,6,2,,,,3,,11,"601,222","169,272","338,782","1,418","18,497",275,18772,"1,155","11,433","60,390",49.16,90,15.0,2.6,5.1,1.3,4.7,4.00,3.74,6612,7270,7245,7371,7682,7641,7303.5,12.1,51672,47378,45841,42771,40511,35949,42490,2.6
Florida,Miami,Miami Police Department,3,6,,,,,2,11,"399,457","64,993","47,622",361,"3,649",58,3707,676,"2,642","279,456",75.53,31,7.8,3.9,6.6,0.0,3.1,No White People were Killed by Police,No White People were Killed by Police,4945,4473,4473,3989,3338,2978,4032.7,10.1,31210,29208,25618,24100,19213,20902,23808.2,4.6
Wisconsin,Milwaukee,Milwaukee Police Department,14,1,,,,2,,17,"594,833","233,325","220,219","3,408","20,553",195,20748,819,"13,307","103,007",70.11,41,6.9,4.1,8.6,1.3,1.4,6.61,1.07,8194,8864,9583,9201,9507,8416,8960.8,15.1,41870,32550,27082,24185,24024,19057,25379.6,6.7
Minneapolis,Minneapolis,Minneapolis Police Department,5,1,,1,,1,,8,"382,578","69,971","230,650","6,351","21,399",168,21567,962,"13,004","40,073",50.92,150,39.2,3.0,10.2,0.6,3.6,16.48,5.76,4038,4093,4395,4622,4614,3395,4192.8,11.0,20797,17358,15019,11879,11955,11652,13572.6,5.9
Louisiana,New Orleans,New Orleans Police Department,10,,,,,2,,12,"343,829","204,866","104,770",827,"9,883",105,9988,967,"4,360","18,051",67.63,333,96.9,5.0,7.0,2.7,0.0,2.56,0.00,2965,3770,3736,4249,4457,4611,3964.7,11.5,,,17017,20589,25089,23674,21592.25,5.6
New York,New York,New York Police Department,48,10,,,,9,8,75,"8,175,133","1,861,295","2,722,904","17,427","1,028,119","2,795",1030914,"57,841","148,676","2,336,076",81.41,93,1.1,1.3,3.7,0.5,0.6,7.80,1.30,52384,50564,50088,49124,46433,46113,49117.7,6.0,393809,387727,339470,314864,286225,246773,315011.8,2.4
New Jersey,Newark,Newark Police Department,7,1,,,,2,1,11,"277,140","138,074","32,122",713,"4,318",68,4386,"3,899","4,200","93,746",71.19,31,11.2,5.7,7.2,8.9,1.5,0.81,0.17,3516,3008,,2637,2543,2069,2754.6,9.9,13648,10192,,8490,7624,7453,8439.75,13.0
Virginia,Norfolk,Norfolk Police Department,7,,,,,4,,11,"242,803","102,452","107,463",935,"7,861",359,8220,471,"7,118","16,144",50.80,12,4.9,6.5,9.8,5.3,0.0,1.84,0.00,1418,1280,1329,1616,1363,1134,1356.7,5.6,17611,15834,12700,11870,12692,13469,13313,8.3
Nevada,North Las Vegas,North Las Vegas Police Department,2,3,,,,2,,7,"216,961","41,561","67,687",871,"13,122","1,684",14806,377,"7,525","84,134",27.10,80,36.9,4.6,6.9,4.2,5.1,1.63,1.21,1806,1782,2130,2276,2461,2386,2140.2,9.9,,6922,5922,5935,5750,7056,6317,11.1
California,Oakland,Oakland Police Department,7,,,,,2,,9,"390,724","106,637","101,308","1,214","65,127","2,081",67208,"1,213","14,076","99,068",51.89,45,11.5,3.3,9.4,2.8,0.0,3.33,0.00,7984,6910,6051,6059,5521,5480,6334.2,16.2,7562,9781,10850,11083,10518,8971,10240.6,8.8
Oklahoma,Oklahoma City,Oklahoma City Police Department,24,7,3,,,14,,48,"579,999","85,744","328,582","18,208","23,051",464,23515,700,"23,212","100,038",46.73,32,5.5,11.8,40.0,6.1,10.0,6.57,1.64,4998,4782,4828,5027,5104,5663,5067.0,8.7,19330,19515,19660,18574,17246,15795,18158,26.4
Nebraska,Omaha,Omaha Police Department,6,1,1,,,7,,15,"408,958","55,128","278,172","2,263","9,889",253,10142,806,"8,894","53,553",58.03,15,3.7,5.2,15.5,3.6,2.7,4.33,0.74,2449,2458,2329,2531,2909,2628,2550.7,6.2,19407,20400,,18677,,19072,19383,7.7
Florida,Orlando,Orlando Police Department,9,5,,1,,3,,18,"238,300","63,584","98,533",483,"8,756",130,8886,"1,688","4,643","60,483",60.99,248,104.1,10.8,20.2,4.3,11.8,4.65,2.72,2316,2340,2525,2328,2113,2282,2317.3,9.7,11427,11408,10650,9344,9059,8727,9837.6,18.3
Pennsylvania,Philadelphia,Philadelphia Police Department,21,,,,,2,9,32,"1,526,006","644,287","562,585","3,498","95,521",457,95978,"4,105","27,942","187,611",73.35,114,7.5,3.0,4.7,0.5,0.0,9.17,0.00,17074,15925,16132,15534,14930,14420,15669.2,10.3,86253,82799,69324,53807,52689,46301,60984,5.2
Arizona,Phoenix,Phoenix Police Department,15,41,4,,,40,11,111,"1,445,632","86,788","672,573","23,327","43,894","2,055",45949,"2,242","24,876","589,877",49.89,69,4.8,11.0,24.7,8.5,9.9,2.91,1.17,9492,8749,9261,10700,12511,12110,10470.5,7.2,70691,59811,,44335,49958,52449,51638.25,21.5
Pennsylvania,Pittsburgh,Pittsburgh Police Department,6,,,,,1,,7,"305,704","78,847","198,186",505,"13,393",76,13469,843,"6,890","6,964",56.55,4,1.3,3.3,10.9,0.7,0.0,15.08,0.00,2259,2455,2167,2366,2008,1751,2167.7,7.1,17868,15406,12911,11897,13534,11699,13089.4,5.3
Texas,Plano,Plano Police Department,,1,,,,1,,2,"259,841","19,199","151,629",831,"43,659",121,43780,449,"5,779","38,174",26.40,26,10.0,1.1,0.0,0.9,3.7,0.00,3.97,389,459,433,399,435,402,419.5,1.6,8832,3432,9163,8885,9335,7657,7694.4,2.6
Oregon,Portland,Portland Police Bureau,4,1,,,,13,,18,"583,776","35,462","421,773","4,381","41,335","2,978",44313,"1,299","21,708","54,840",38.64,12,2.1,4.4,16.1,4.4,2.6,3.66,0.59,2941,2911,680,3163,3349,3418,2743.7,4.7,,20160,,20322,19107,20501,20022.5,9.0
North Carolina,Raleigh,Raleigh Police Department,2,1,,,,1,,4,"403,892","115,976","215,204","1,019","17,309",139,17448,828,"7,549","45,868",50.26,15,3.7,1.4,2.5,0.7,3.1,3.71,4.69,1683,,,,,,1683.0,4.2,27458,,,,,,#DIV/0!,
Nevada,Reno,Reno Police Department,3,5,,,,4,2,14,"225,221","5,990","140,752","2,066","13,913","1,505",15418,441,"5,914","54,640",32.08,12,5.3,8.9,71.5,4.1,13.1,17.62,3.22,1154,1147,1419,1717,1674,1636,1457.8,6.5,12196,12309,11869,12044,12837,14422,12696.2,11.0
California,Riverside,Riverside Police Department,3,5,,,,,,8,"303,871","19,917","103,398","1,297","21,934","1,019",22953,617,"6,736","148,953",25.41,27,8.9,3.8,21.5,0.0,4.8,No White People were Killed by Police,No White People were Killed by Police,1330,1384,1441,1724,1669,1686,1539.0,5.1,8117,11796,8500,9122,7573,7443,8886.8,9.0
New York,Rochester,Rochester Police Department,2,,,1,,1,,4,"210,565","83,346","79,178",666,"6,350",77,6427,392,"6,100","34,456",51.59,28,13.3,2.7,3.4,1.8,0.0,1.90,0.00,2107,1765,1839,1845,1872,1615,1840.5,8.7,,,,,,,#DIV/0!,
California,Sacramento,Sacramento Police Department,5,2,,,,5,1,13,"466,488","64,967","161,062","2,586","83,841","6,392",90233,"1,253","21,111","125,276",40.57,103,22.1,4.0,11.0,4.4,2.3,2.48,0.51,3137,2968,3611,3549,3378,3329,3328.7,7.1,18467,19824,18132,16282,13810,14054,16420.4,7.9
