"id","state_abbr","year","offense_code","offense_name","agencies","population","total_male","total_female","m_18","m_19","m_20","m_21","m_22","m_23","m_24","m_25_29","m_30_34","m_35_39","m_40_44","m_45_49","m_50_54","m_55_59","m_60_64","m_65p","f_18","f_19","f_20","f_21","f_22","f_23","f_24","f_25_29","f_30_34","f_35_39","f_40_44","f_45_49","f_50_54","f_55_59","f_60_64","f_65p","race_agencies","race_population","white","black","asian_pacific_islander","american_indian"
1024,,2016,"ASR_LRC","Larceny",13310,264534532,440564,321819,20700,18750,16764,16090,16367,16364,17021,79739,65534,50023,34732,32454,26703,16833,7591,4899,15644,14149,12628,11788,11659,11843,12316,58908,50731,38530,26314,21736,16564,10266,5080,3663,12581,263887632,531707,201826,10415,13474
1025,,2016,"ASR_MAN","Manslaughter by Negligence",13310,264534532,685,207,31,32,36,35,32,33,30,126,85,62,43,36,35,41,13,15,2,3,6,9,9,13,15,38,27,22,19,9,13,7,6,9,12581,263887632,678,180,26,3
1026,,2016,"ASR_MVT","Motor Vehicle Theft",13310,264534532,44290,12896,2730,2328,2099,1987,1960,1902,1975,8881,7053,5213,3076,2336,1619,756,248,127,565,560,576,533,527,596,616,2992,2375,1608,917,533,294,131,44,29,12581,263887632,39999,14968,1097,848
1027,,2016,"ASR_OTH","All Other Offenses",13310,264534532,1889247,675720,45099,55750,61572,67406,70304,73344,75213,352861,293242,232285,160393,140343,119087,79034,37655,25659,13706,17633,20007,22465,24753,26463,28386,139159,118789,91359,60130,46891,33395,18503,8125,5956,12581,263887632,1762233,699715,35101,50532
1028,,2016,"ASR_PRS","Prostitution and Commercialized Vice",13310,264534532,11784,18751,118,181,268,272,340,340,338,1923,1868,1573,1246,1103,841,668,348,357,667,858,991,1103,1099,993,1044,4019,2671,1769,1226,1117,751,303,112,28,12581,263887632,16905,11426,1898,120
1029,,2016,"ASR_ROB","Robbery",13310,264534532,53404,9521,5016,4319,3662,3116,2921,2669,2638,10118,6695,4387,2695,2244,1634,887,279,124,607,554,517,506,472,460,488,2021,1439,989,552,388,321,128,52,27,12581,263887632,29273,32131,745,582
1030,,2016,"ASR_RPE","Rape",13310,264534532,15783,413,794,735,654,659,603,514,528,2329,2251,1874,1399,1202,895,598,373,375,15,19,17,15,18,11,14,75,76,63,41,20,17,4,3,5,12581,263887632,10942,4549,348,211
1031,,2016,"ASR_SEX","Sex Offenses",13310,264534532,32342,2308,1151,1079,1074,1040,927,966,845,4182,4160,3694,2876,2701,2654,2148,1295,1550,98,94,76,83,82,74,80,404,343,295,218,195,130,62,43,31,12581,263887632,24623,8462,789,583
1032,,2016,"ASR_STP","Stolen Property",13310,264534532,53724,15270,2832,2693,2523,2363,2334,2293,2333,10636,8547,6413,4017,3027,2021,1080,409,203,523,597,615,594,670,668,729,3462,2817,1984,1112,793,431,167,71,37,12581,263887632,46063,20898,863,820
1033,,2016,"ASR_SUS","Suspicion",13310,264534532,847,253,27,23,49,44,44,51,53,174,107,82,66,50,40,26,4,7,8,20,11,16,21,13,12,45,32,28,13,13,8,10,1,2,12581,263887632,447,483,7,146
1034,,2016,"ASR_VAG","Vagrancy",13310,264534532,14850,4572,394,344,333,322,403,349,405,2034,1729,1694,1276,1530,1682,1368,670,317,149,157,196,119,116,118,123,641,574,580,461,453,400,289,123,73,12581,263887632,12783,5895,238,401
1035,,2016,"ASR_VAN","Vandalism",13310,264534532,98950,29876,5497,5168,4576,4909,4704,4491,4479,18800,14463,10520,6595,5425,4273,2732,1314,1004,1273,1339,1301,1412,1416,1424,1408,6026,4560,3200,2114,1726,1299,740,344,294,12581,263887632,86969,36300,1827,2792
1036,,2016,"ASR_WEAP","Weapons",13310,264534532,102522,10097,5174,5206,4977,5335,5526,5254,5224,20971,14681,10423,6385,4901,3642,2543,1250,1030,393,439,397,449,488,492,471,2081,1552,1188,720,588,408,237,109,85,12581,263887632,62757,46872,1490,1012
981,,2015,"ASR_ARSON","Arson",13404,260792111,3908,1073,182,157,142,139,156,156,154,594,599,388,284,288,306,186,107,70,22,26,44,33,24,35,29,180,165,134,107,88,97,52,17,20,12728,259649328,3601,1135,95,125
982,,2015,"ASR_AST","Aggravated Assault",13404,260792111,216145,64328,5734,6452,7015,8019,8442,8731,8710,39664,33158,25466,19040,16144,13444,8617,4057,3452,1652,1916,2108,2480,2668,2702,2750,12447,10105,7520,5691,4787,3863,2107,904,628,12728,259649328,179053,89157,5336,5770
983,,2015,"ASR_AST_SMP","Simple Assault",13404,260792111,565855,208514,14106,15070,16640,20047,21325,22170,22512,102262,87158,68814,52695,44723,37096,22378,10421,8438,6807,6952,7631,8696,8872,9166,8992,38736,31772,24117,18429,15012,11952,6404,2875,2101,12728,259649328,510153,233273,12012,14623
984,,2015,"ASR_BRG","Burglary",13404,260792111,117744,29125,7661,6841,5984,5828,5554,5272,5065,22206,17252,11995,7643,6957,5243,2706,1041,496,1130,1215,1106,1270,1243,1307,1260,5828,4938,3428,2318,1767,1260,637,257,161,12728,259649328,102484,40227,2130,1471
985,,2015,"ASR_DIS","Disorderly Conduct",13404,260792111,190903,69955,7742,7038,7109,9583,8921,8323,7817,31616,24753,19076,15089,14365,13174,8835,4347,3115,2876,2703,2688,3242,3155,2988,2927,12445,9588,7507,5909,5235,4408,2431,1016,837,12728,259649328,169508,75188,2645,11322
986,,2015,"ASR_DRG","Drug Abuse Violations",13404,260792111,861927,253595,45202,48486,45930,43970,43363,42346,40131,164112,123316,85907,57705,47623,38040,22508,9301,3987,11105,11989,11883,11699,11823,11907,12086,50895,40568,28297,18878,14829,10545,4819,1652,620,12728,259649328,775834,308204,13818,10752
987,,2015,"ASR_DRK","Drunkenness",13404,260792111,267027,63983,4533,5824,6205,9860,9335,9186,8966,39062,34371,28402,24750,26818,27459,18707,8871,4678,1373,1524,1582,2308,2181,2201,2270,9719,9012,7654,6840,6723,5735,3126,1155,580,12728,259649328,251591,47904,3659,26338
988,,2015,"ASR_DUI","Drive Under the Influence",13404,260792111,651232,216103,8532,12964,16335,24842,26801,28153,28019,119546,93404,71157,57205,51282,46962,33495,18281,14254,2528,4038,4927,8841,9362,9788,9760,39525,30521,23923,20250,18483,16001,9966,4835,3355,12728,259649328,706970,114747,19861,16540
989,,2015,"ASR_EMB","Embezzlement",13404,260792111,6146,6343,320,352,372,329,301,308,263,1138,790,612,437,370,273,158,84,39,301,404,365,317,323,308,263,1100,859,662,510,379,280,162,74,36,12728,259649328,7492,4602,231,86
990,,2015,"ASR_FAM","Offenses Against the Family and Children",13404,260792111,54316,21276,656,724,863,1032,1257,1427,1662,9482,10071,9332,6690,4860,3440,1753,668,399,296,353,416,604,742,823,911,4716,4607,3222,1927,1232,782,346,184,115,12728,259649328,48859,22921,586,2687
991,,2015,"ASR_FOR","Forgery and Counterfeiting",13404,260792111,28400,15756,793,1111,1250,1000,1124,1207,1253,5537,4666,3431,2381,1907,1445,795,327,173,326,479,677,543,614,636,671,3331,2821,2112,1437,1018,646,280,104,61,12728,259649328,28215,14642,745,305
992,,2015,"ASR_FRD","Fraud",13404,260792111,63977,41556,1524,1972,2298,2147,2341,2355,2510,11922,10041,7876,6042,5000,3764,2286,1065,834,724,982,1228,1215,1292,1453,1485,7583,7417,5808,4237,3118,2130,1860,560,464,12728,259649328,70306,31983,1298,1142
993,,2015,"ASR_GAM","Gambling",13404,260792111,2640,720,181,147,150,127,130,126,95,442,276,219,192,171,121,123,75,65,16,26,21,9,13,13,15,77,87,72,66,91,72,66,44,32,12728,259649328,1267,1810,248,27
994,,2015,"ASR_HOM","Murder and Nonnegligent Homicide",13404,260792111,7460,1012,445,445,463,464,445,439,388,1406,960,640,397,315,262,191,99,101,49,46,32,37,53,53,52,192,166,97,66,61,60,23,12,13,12728,259649328,3827,4359,155,107
995,,2015,"ASR_LIQ","Liquor Laws",13404,260792111,130638,48228,21009,23905,20422,3931,2837,2471,2164,8687,7616,6580,6130,6953,7635,5697,2904,1697,10835,10991,8718,1351,962,792,723,2766,2252,2015,1903,1820,1541,940,396,223,12728,259649328,137474,26737,2972,8892
996,,2015,"ASR_LRC","Larceny",13404,260792111,464858,358465,23843,22133,19840,19037,18619,19011,18432,82359,66336,48976,36305,33353,27805,16552,7328,4929,18347,16924,15195,14410,14563,14233,14474,64804,54746,39818,28776,23785,18440,10675,5350,3925,12728,259649328,576448,216399,11416,13781
997,,2015,"ASR_MAN","Manslaughter by Negligence",13404,260792111,686,175,31,25,36,24,46,30,24,144,107,54,32,39,30,19,18,27,9,4,5,9,10,4,11,37,23,14,20,8,8,5,2,6,12728,259649328,643,188,18,11
998,,2015,"ASR_MVT","Motor Vehicle Theft",13404,260792111,39527,11067,2496,2152,1965,1822,1748,1859,1700,7726,6275,4415,2854,2123,1390,661,223,118,462,455,482,522,543,522,528,2549,2017,1271,765,526,266,110,28,21,12728,259649328,35602,12802,1154,787
999,,2015,"ASR_OTH","All Other Offenses",13404,260792111,1846340,649524,46351,57674,64065,71035,73398,75251,76268,338543,279102,211721,158356,139038,119410,76146,35761,24221,13535,17321,20226,23251,25425,26966,28270,132437,111967,82919,58538,44966,32951,17407,7521,5824,12728,259649328,1695400,699613,35848,48948
1000,,2015,"ASR_PRS","Prostitution and Commercialized Vice",13404,260792111,11658,20839,137,194,236,326,339,345,356,1848,1806,1541,1284,989,866,658,384,349,735,1063,1144,1259,1264,1250,1103,4512,2734,1897,1429,1174,834,317,96,28,12728,259649328,17649,12866,1691,113
1001,,2015,"ASR_ROB","Robbery",13404,260792111,52279,9360,4795,4128,3582,3342,3014,2877,2495,9775,6439,4166,2627,2230,1566,827,287,129,601,562,500,531,482,495,509,1921,1393,920,579,432,276,120,23,16,12728,259649328,29123,30982,819,536
1002,,2015,"ASR_RPE","Rape",13404,260792111,15148,433,785,757,703,650,589,506,551,2243,2128,1696,1383,1055,922,553,295,332,20,23,9,17,13,12,22,63,80,62,50,30,11,16,4,1,12728,259649328,10491,4383,325,269
1003,,2015,"ASR_SEX","Sex Offenses",13404,260792111,32116,2297,1213,1196,1115,1096,984,984,898,4207,3971,3477,2924,2729,2637,1908,1204,1573,101,96,98,90,104,112,86,375,335,285,190,186,120,67,31,21,12728,259649328,25007,7919,772,555
1004,,2015,"ASR_STP","Stolen Property",13404,260792111,49507,14086,2741,2517,2354,2408,2184,2273,2282,9525,7716,5465,3607,2884,1910,1033,392,216,476,568,545,647,655,673,654,3162,2573,1733,1002,640,443,201,74,40,12728,259649328,42779,18975,877,705
1005,,2015,"ASR_SUS","Suspicion",13404,260792111,893,266,35,36,35,37,30,32,35,162,124,108,80,57,67,30,11,14,13,5,7,15,13,18,6,50,38,33,28,10,11,5,2,12,12728,259649328,609,283,16,295
1006,,2015,"ASR_VAG","Vagrancy",13404,260792111,14945,4346,365,322,332,382,386,378,381,1925,1880,1522,1211,1645,1755,1402,719,340,114,131,140,90,108,166,123,615,514,577,520,422,398,259,107,62,12728,259649328,13174,5088,205,677
1007,,2015,"ASR_VAN","Vandalism",13404,260792111,93642,27670,5635,5055,4607,4941,4782,4658,4220,17490,13076,9186,6264,5149,4118,2479,1111,871,1170,1181,1254,1416,1323,1378,1300,5587,4097,2796,1998,1672,1310,666,292,230,12728,259649328,82704,33623,1696,2453
1008,,2015,"ASR_WEAP","Weapons",13404,260792111,92399,8728,4678,4881,4769,5066,5045,4956,4816,18419,13028,8730,5753,4386,3429,2235,1161,1047,354,336,355,384,418,436,426,1767,1428,952,663,465,358,234,73,79,12728,259649328,57647,40732,1295,1013
953,,2014,"ASR_ARSON","Arson",12854,255852212,3905,1147,212,197,178,172,157,128,138,600,555,360,311,277,265,187,94,74,28,31,28,33,35,41,38,183,152,138,140,106,84,59,24,27,12220,254957718,3701,1124,77,120
954,,2014,"ASR_AST","Aggravated Assault",12854,255852212,211994,62532,5814,6600,7250,8253,8566,8675,8685,38342,32213,23703,18936,16030,13704,8173,3794,3256,1568,1969,2253,2503,2662,2712,2726,11731,9838,7113,5715,4915,3657,1860,760,550,12220,254957718,175678,88327,5058,4165
955,,2014,"ASR_AST_SMP","Simple Assault",12854,255852212,564098,205713,14589,15779,17763,21371,21843,22293,22117,100285,87285,65412,53594,45196,37386,21224,9957,8004,6819,7251,7987,9012,9449,9353,8902,37914,30583,22944,18502,15212,11587,5754,2485,1959,12220,254957718,509297,233143,10012,12597
956,,2014,"ASR_BRG","Burglary",12854,255852212,129302,30177,9094,8297,7283,6887,6594,6258,5683,23734,17890,12023,8662,7235,5566,2691,974,431,1275,1366,1336,1357,1361,1391,1397,6020,4956,3323,2450,1813,1222,560,201,149,12220,254957718,111079,44270,2155,1439
957,,2014,"ASR_DIS","Disorderly Conduct",12854,255852212,211793,75174,8503,8204,8202,10911,10233,9600,8781,34924,26688,19554,17063,16250,15301,9767,4531,3281,3240,3021,3053,3722,3581,3485,3199,12976,10117,7758,6570,5686,4706,2386,992,682,12220,254957718,185274,89336,2516,7041
958,,2014,"ASR_DRG","Drug Abuse Violations",12854,255852212,905368,256082,48862,52890,51237,48383,47219,45396,42273,168255,127145,83734,61252,50815,41424,23013,9141,4329,10807,11963,12329,12290,12416,12400,12079,50502,39840,26458,20253,16152,11192,5089,1703,609,12220,254957718,790460,341192,13816,9048
959,,2014,"ASR_DRK","Drunkenness",12854,255852212,266063,61589,5265,6296,6847,10783,10199,9863,9122,39267,33460,26502,24475,27209,27042,17381,8136,4216,1436,1684,1666,2577,2346,2305,2142,9247,8451,6655,6567,6592,5676,2842,966,437,12220,254957718,263820,51774,4082,6864
960,,2014,"ASR_DUI","Drive Under the Influence",12854,255852212,665204,220922,9057,13682,17171,26043,28170,29639,29140,122638,95479,70346,59633,52011,47828,32895,17689,13783,2619,4283,5421,9536,10525,10623,10151,40578,31122,23460,20687,18801,16294,9462,4393,2967,12220,254957718,733029,114052,17976,12124
961,,2014,"ASR_EMB","Embezzlement",12854,255852212,6397,6298,279,376,345,373,338,343,324,1133,834,601,483,390,288,152,87,51,296,387,363,350,344,315,276,1069,849,612,520,378,284,137,72,46,12220,254957718,7799,4462,236,83
962,,2014,"ASR_FAM","Offenses Against the Family and Children",12854,255852212,57128,21104,687,722,845,1153,1356,1498,1763,9807,10700,9452,7286,5280,3705,1763,674,437,288,390,465,655,768,834,906,4684,4548,3040,1909,1208,806,353,150,100,12220,254957718,50114,25541,648,1457
963,,2014,"ASR_FOR","Forgery and Counterfeiting",12854,255852212,28427,16465,747,1027,1223,1153,1122,1206,1224,5521,4621,3225,2530,2059,1478,799,306,186,352,482,670,685,694,687,702,3534,2949,2137,1473,994,647,311,95,53,12220,254957718,28477,15162,699,277
964,,2014,"ASR_FRD","Fraud",12854,255852212,66559,43258,1607,2145,2492,2554,2513,2612,2616,11694,10405,7647,6530,5338,4001,2319,1219,867,850,1156,1458,1320,1397,1556,1576,7857,7456,6047,4555,3404,2334,1213,594,485,12220,254957718,72365,34335,1222,1081
965,,2014,"ASR_GAM","Gambling",12854,255852212,3411,596,214,227,231,224,182,131,158,545,330,235,214,184,190,153,79,114,12,20,26,13,13,9,10,68,59,59,54,56,65,50,46,36,12220,254957718,1513,2257,215,14
966,,2014,"ASR_HOM","Murder and Nonnegligent Homicide",12854,255852212,6947,938,397,410,433,435,415,387,332,1350,858,612,396,310,251,184,87,90,33,30,45,46,46,60,36,186,126,92,68,61,43,35,19,12,12220,254957718,3672,3981,118,79
967,,2014,"ASR_LIQ","Liquor Laws",12854,255852212,158205,55999,26228,29123,24976,4881,3458,3005,2538,9960,8614,7230,7515,8766,9914,6934,3307,1756,12892,13076,10338,1519,1057,970,824,3039,2454,2147,2117,2150,1766,974,429,247,12220,254957718,166059,33290,3157,8384
968,,2014,"ASR_LRC","Larceny",12854,255852212,487187,377586,26760,25066,22557,21691,21046,20012,19602,83189,66648,47028,39161,35792,29463,17017,7177,4978,19992,18748,17356,16613,16145,15967,15570,68543,55572,38981,30468,24498,19183,10721,5161,4068,12220,254957718,605247,229075,10838,14013
969,,2014,"ASR_MAN","Manslaughter by Negligence",12854,255852212,656,184,24,35,28,32,29,35,26,108,90,60,54,32,39,25,15,24,6,4,6,6,8,7,13,25,37,22,14,10,9,9,4,4,12220,254957718,626,178,24,9
970,,2014,"ASR_MVT","Motor Vehicle Theft",12854,255852212,35415,9473,2357,2114,1808,1733,1668,1596,1508,6675,5472,3654,2702,1954,1316,565,196,97,406,399,422,401,461,450,464,2198,1648,1084,666,448,251,114,40,21,12220,254957718,31258,11982,863,565
971,,2014,"ASR_OTH","All Other Offenses",12854,255852212,1829587,633136,48744,60546,68192,75754,77267,77436,75377,328696,270907,197368,159836,139865,119780,73427,33782,22610,13869,18045,21918,24733,26814,27741,27787,126475,106601,75478,58183,44437,32692,16265,6805,5293,12220,254957718,1660318,718251,27602,41308
972,,2014,"ASR_PRS","Prostitution and Commercialized Vice",12854,255852212,12648,24576,149,188,280,345,335,397,385,2112,1980,1564,1322,1240,933,663,378,377,813,1310,1393,1479,1507,1440,1346,5052,3215,2250,1852,1477,959,388,74,21,12220,254957718,19958,15368,1507,194
973,,2014,"ASR_ROB","Robbery",12854,255852212,51511,9047,4830,4468,3922,3534,3143,2878,2549,9216,6075,3657,2607,2145,1460,681,224,122,589,586,556,523,493,517,467,1972,1267,784,507,399,259,95,21,12,12220,254957718,27755,31288,695,544
974,,2014,"ASR_RPE","Rape",12854,255852212,13984,358,727,670,630,625,545,544,505,2090,1852,1511,1315,1039,861,500,274,296,19,25,13,11,13,14,10,55,71,57,22,23,16,9,,,12220,254957718,9570,4149,301,196
975,,2014,"ASR_SEX","Sex Offenses",12854,255852212,34186,2605,1265,1313,1188,1161,1076,1042,948,4343,4061,3570,3308,3011,2906,2070,1301,1623,114,124,128,133,120,114,103,432,358,295,254,185,128,72,26,19,12220,254957718,26504,8793,694,575
976,,2014,"ASR_STP","Stolen Property",12854,255852212,49197,14108,2723,2756,2539,2405,2331,2246,2218,9432,7491,5154,3586,2864,1941,965,345,201,481,560,605,630,716,716,669,3116,2564,1619,1025,739,421,159,61,27,12220,254957718,43003,18635,839,604
977,,2014,"ASR_SUS","Suspicion",12854,255852212,530,194,24,15,36,19,35,28,27,107,64,64,27,27,31,19,1,6,10,5,6,8,8,9,9,36,47,15,12,12,11,1,3,2,12220,254957718,378,310,12,15
978,,2014,"ASR_VAG","Vagrancy",12854,255852212,16510,4698,408,389,420,472,403,432,433,2001,1905,1580,1501,1930,2022,1510,749,355,123,155,159,138,139,116,137,566,571,605,475,522,502,263,171,56,12220,254957718,14390,5947,197,449
979,,2014,"ASR_VAN","Vandalism",12854,255852212,96190,27182,6084,5420,5171,5446,5128,4750,4405,17523,13186,8706,6603,5279,4270,2307,1043,869,1223,1181,1292,1372,1395,1411,1348,5480,3872,2633,2044,1605,1271,556,282,217,12220,254957718,85107,33524,1567,2302
980,,2014,"ASR_WEAP","Weapons",12854,255852212,87969,8208,4908,4859,4853,4880,4971,4752,4278,16884,12427,7883,5455,4216,3424,2148,1072,959,337,320,329,391,387,403,437,1651,1302,856,589,476,386,191,81,72,12220,254957718,54785,38965,1293,701
925,,2013,"ASR_ARSON","Arson",12397,257195726,4317,1226,249,228,228,184,155,163,159,702,576,383,347,323,295,171,86,68,30,45,44,56,43,50,39,208,187,117,116,114,80,52,26,19,11925,248045485,4100,1243,75,87
926,,2013,"ASR_AST","Aggravated Assault",12397,257195726,218465,61436,6015,7076,7561,8558,8524,8650,8376,37612,31642,22258,18848,26209,13074,7490,3591,2981,1623,2102,2324,2726,2746,2679,2563,11512,9459,6825,5642,4904,3578,1605,675,473,11925,248045485,181471,88565,4860,4121
927,,2013,"ASR_AST_SMP","Simple Assault",12397,257195726,583862,206246,15864,17472,19366,32892,23353,23507,22431,101363,87588,63843,55687,46757,36903,20302,9052,7482,7547,8093,8662,9767,9879,9369,8898,37166,30110,21912,18823,15283,11246,5453,2265,1773,11925,248045485,524781,238368,10139,12772
928,,2013,"ASR_BRG","Burglary",12397,257195726,139942,30966,10600,9662,8711,7926,7357,6750,6155,25274,18639,11800,9608,7844,5638,2643,905,430,1344,1508,1468,1459,1585,1480,1437,6095,4983,3151,2518,1846,1223,571,187,111,11925,248045485,118497,48130,2155,1645
929,,2013,"ASR_DIS","Disorderly Conduct",12397,257195726,234830,80256,10014,9742,9615,12902,11531,10408,9407,36122,38026,19727,17657,17277,15874,9262,4193,3073,3682,3611,3614,4547,4041,3709,3465,13486,10565,7923,7008,6091,4623,2258,937,696,11925,248045485,205948,97213,2397,7144
930,,2013,"ASR_DRG","Drug Abuse Violations",12397,257195726,949923,242344,51815,55269,63169,50321,47544,44592,70766,162314,133266,77782,60784,60387,38992,20973,8352,3597,10739,12059,12307,12189,12323,11780,11149,46615,36505,23643,19838,15856,10838,4543,1403,557,11925,248045485,818803,347201,13045,8262
931,,2013,"ASR_DRK","Drunkenness",12397,257195726,319622,65872,5656,7282,7587,22428,11648,11104,9970,52798,36388,27433,27785,30287,39256,18096,7978,3926,1774,1903,2008,3025,2776,2452,2207,10032,8766,7027,7190,7052,5682,2757,828,393,11925,248045485,315846,56762,4037,7274
932,,2013,"ASR_DUI","Drive Under the Influence",12397,257195726,764486,230605,20133,15045,18830,29278,31014,31461,30135,127375,118865,71737,83029,75522,49483,32167,17370,13042,3152,4779,6256,11010,11729,11446,10462,42329,31710,23277,22118,19914,16452,8944,4204,2823,11925,248045485,841336,114978,18350,12578
933,,2013,"ASR_EMB","Embezzlement",12397,257195726,6446,6110,275,407,405,379,353,284,301,1119,826,615,517,413,286,131,90,45,237,354,377,355,309,300,233,978,850,612,561,391,303,141,67,42,11925,248045485,7843,4323,219,80
934,,2013,"ASR_FAM","Offenses Against the Family and Children",12397,257195726,67125,20446,666,768,964,1239,1394,1584,1703,9648,20772,9033,7602,5520,3515,1759,578,380,300,385,486,656,739,836,881,4420,4322,2861,1951,1234,810,308,137,120,11925,248045485,60283,25065,539,1343
935,,2013,"ASR_FOR","Forgery and Counterfeiting",12397,257195726,30320,18263,808,1165,1273,1216,1333,1328,1287,5834,4940,3457,2712,2164,1549,782,333,139,482,606,789,727,693,808,840,3841,3227,2254,1771,1150,646,285,88,56,11925,248045485,31137,16217,707,283
936,,2013,"ASR_FRD","Fraud",12397,257195726,66881,44729,1595,2209,2431,2466,2575,2638,2606,11585,10090,7675,6949,5586,4175,2328,1103,870,799,1142,1430,1485,1543,1647,1642,7953,7798,5975,4961,3597,2359,1350,566,482,11925,248045485,73787,34909,1247,1098
937,,2013,"ASR_GAM","Gambling",12397,257195726,3788,700,244,251,252,230,217,172,160,609,373,260,212,202,208,157,108,133,10,20,17,19,28,12,15,65,61,63,80,93,69,75,42,31,11925,248045485,1376,2812,232,27
938,,2013,"ASR_HOM","Murder and Nonnegligent Homicide",12397,257195726,7018,940,416,452,538,492,442,397,332,1262,850,507,399,320,268,141,88,114,32,39,34,61,41,50,39,187,132,79,77,67,52,24,10,16,11925,248045485,3633,4109,111,89
